Social Media and Digital Media and Streaming,the Dynamics of Social Media and Digital Media and Streaming,u_shape,negative
Ad spend ($),New followers (count/day)
100.0,10.0
1414.47,14695.52
2728.95,8930.35
4043.42,17421.61
5357.89,23616.37
6672.37,26272.52
7986.84,26698.36
9301.32,31287.07
10615.79,40441.58
11930.26,40993.07
13244.74,49513.09
14559.21,55712.86
15873.68,66737.18
17188.16,73551.52
18502.63,62492.64
19817.11,63591.66
21131.58,53593.95
22446.05,57076.05
23760.53,66176.76
25075.0,77198.13
26389.47,79752.29
27703.95,79524.59
29018.42,83764.15
30332.89,95285.97
31647.37,83709.3
32961.84,100000.0
34276.32,92746.64
35590.79,87410.18
36905.26,85689.86
38219.74,77877.04
39534.21,92195.15
40848.68,97955.72
42163.16,90545.03
43477.63,92199.19
44792.11,93676.2
46106.58,90658.24
47421.05,98368.11
48735.53,95449.51
50050.0,87837.03
51364.47,93475.37
52678.95,96548.46
53993.42,82394.99
55307.89,98675.6
56622.37,85110.65
57936.84,91373.19
59251.32,91605.99
60565.79,92223.48
61880.26,89948.38
63194.74,85819.6
64509.21,90948.88
65823.68,92569.01
67138.16,93878.04
68452.63,86615.94
69767.11,80148.53
71081.58,78695.43
72396.05,95967.23
73710.53,83682.28
75025.0,59569.01
76339.47,82452.8
77653.95,64335.12
78968.42,54341.27
80282.89,64871.17
81597.37,43241.34
82911.84,51643.66
84226.32,50661.35
85540.79,52390.24
86855.26,57510.95
88169.74,42923.03
89484.21,26820.12
90798.68,29901.22
92113.16,40507.54
93427.63,32312.38
94742.11,26413.72
96056.58,16876.36
97371.05,18177.57
98685.53,36857.62
100000.0,11899.99
