Education and Academics,the Overview of Education and Academics,exponential,negative
Class size (students),College admission (%)
10.0,100.0
10.77,91.94
11.54,81.41
12.31,62.92
13.08,73.43
13.85,56.15
14.62,44.95
15.38,42.93
16.15,48.02
16.92,51.56
17.69,34.72
18.46,26.82
19.23,35.22
20.0,25.9
20.77,25.02
21.54,35.84
22.31,13.75
23.08,27.67
23.85,23.12
24.62,14.09
25.38,15.73
26.15,14.6
26.92,17.8
27.69,25.28
28.46,15.47
29.23,14.68
30.0,0.0
30.77,14.79
31.54,14.86
32.31,20.1
33.08,17.52
33.85,15.6
34.62,11.08
35.38,17.21
36.15,19.46
36.92,10.09
37.69,11.91
38.46,15.96
39.23,21.72
40.0,21.34
