Human Resources and Workplace,the Dynamics of Human Resources and Workplace,u_shape,negative
Salary ($/year),Productivity (index)
30000.0,50.0
32048.19,63.63
34096.39,72.23
36144.58,64.86
38192.77,66.63
40240.96,74.69
42289.16,77.1
44337.35,78.32
46385.54,98.51
48433.73,86.36
50481.93,88.27
52530.12,96.37
54578.31,99.82
56626.51,89.04
58674.7,108.88
60722.89,107.87
62771.08,109.79
64819.28,113.26
66867.47,104.35
68915.66,120.02
70963.86,118.7
73012.05,127.45
75060.24,121.08
77108.43,129.15
79156.63,140.79
81204.82,126.95
83253.01,135.48
85301.2,127.45
87349.4,128.5
89397.59,138.57
91445.78,136.97
93493.98,145.23
95542.17,135.66
97590.36,137.59
99638.55,142.97
101686.75,139.88
103734.94,142.51
105783.13,138.43
107831.33,141.58
109879.52,137.38
111927.71,150.0
113975.9,149.29
116024.1,140.56
118072.29,145.79
120120.48,149.92
122168.67,142.53
124216.87,137.94
126265.06,136.71
128313.25,129.47
130361.45,142.96
132409.64,131.15
134457.83,131.33
136506.02,125.74
138554.22,128.08
140602.41,129.93
142650.6,136.83
144698.8,135.5
146746.99,124.94
148795.18,129.45
150843.37,124.74
152891.57,127.76
154939.76,124.05
156987.95,127.5
159036.14,127.13
161084.34,115.8
163132.53,117.29
165180.72,108.03
167228.92,114.24
169277.11,115.32
171325.3,95.87
173373.49,95.68
175421.69,94.41
177469.88,91.63
179518.07,87.76
181566.27,77.91
183614.46,85.0
185662.65,76.48
187710.84,67.92
189759.04,73.06
191807.23,66.82
193855.42,61.23
195903.61,57.15
197951.81,56.61
200000.0,50.29
