Energy and Utilities,the Overview of Energy and Utilities,linear,none
Infrastructure age (years),Customer outage duration (hours/year)
0.0,18.83
0.56,9.52
1.11,3.52
1.67,5.57
2.22,13.67
2.78,5.97
3.33,9.12
3.89,12.38
4.44,9.29
5.0,4.62
5.56,1.43
6.11,3.37
6.67,17.71
7.22,6.71
7.78,11.27
8.33,1.43
8.89,16.68
9.44,13.55
10.0,4.04
10.56,16.1
11.11,7.75
11.67,5.26
12.22,17.2
12.78,7.74
13.33,0.18
13.89,7.53
14.44,11.71
15.0,11.2
15.56,0.63
16.11,10.58
16.67,1.98
17.22,9.47
17.78,8.57
18.33,20.37
18.89,4.55
19.44,8.58
20.0,7.46
20.56,4.18
21.11,11.64
21.67,15.79
22.22,0.24
22.78,10.83
23.33,11.65
23.89,16.47
24.44,10.44
25.0,11.07
25.56,11.11
26.11,15.84
26.67,13.97
27.22,15.53
27.78,8.46
28.33,8.7
28.89,0.0
29.44,13.59
30.0,20.29
30.56,24.0
31.11,6.15
31.67,4.95
32.22,3.77
32.78,1.48
33.33,3.83
33.89,6.67
34.44,15.54
35.0,13.7
35.56,10.19
36.11,15.5
36.67,5.84
37.22,11.23
37.78,15.9
38.33,7.83
38.89,5.14
39.44,5.32
40.0,15.14
40.56,11.58
41.11,7.12
41.67,14.17
42.22,1.24
42.78,1.31
43.33,10.11
43.89,20.99
44.44,4.21
45.0,5.73
45.56,10.3
46.11,16.7
46.67,10.65
47.22,6.15
47.78,16.73
48.33,15.77
48.89,1.83
49.44,6.55
50.0,5.61
