Transportation and Logistics,the Interaction of Transportation and Logistics,linear,none
Delivery time (hours),Fuel efficiency (mpg)
0.5,20.73
0.72,35.37
0.93,26.52
1.15,29.67
1.36,24.81
1.58,29.49
1.8,30.49
2.01,50.0
2.23,41.84
2.44,18.25
2.66,18.08
2.88,28.92
3.09,40.43
3.31,21.36
3.52,15.0
3.74,30.04
3.95,17.37
4.17,35.93
4.39,25.6
4.6,40.8
4.82,42.68
5.03,39.25
5.25,23.03
5.47,16.23
5.68,32.4
5.9,21.2
6.11,35.07
6.33,31.27
6.55,35.05
6.76,42.87
6.98,37.45
7.19,15.19
7.41,26.05
7.62,34.32
7.84,29.06
8.06,34.9
8.27,27.3
8.49,29.95
8.7,26.05
8.92,37.3
9.14,20.5
9.35,35.45
9.57,28.96
9.78,31.33
10.0,29.07
