Finance and Economics,the Dynamics of Finance and Economics,u_shape,positive
Inflation rate (%),Housing starts (units/month)
-2.0,188680.28
-1.86,180013.98
-1.73,181167.17
-1.59,172945.9
-1.45,174067.62
-1.32,163620.89
-1.18,170090.76
-1.05,148642.11
-0.91,135110.21
-0.77,151297.94
-0.64,142434.92
-0.5,131846.02
-0.36,132148.38
-0.23,128233.5
-0.09,134657.6
0.05,109225.31
0.18,127809.7
0.32,99629.26
0.45,104522.89
0.59,98211.61
0.73,96642.75
0.86,105540.88
1.0,86601.75
1.14,90707.04
1.27,104602.27
1.41,71827.88
1.55,88773.8
1.68,76671.52
1.82,80941.61
1.95,84632.08
2.09,87677.0
2.23,93152.23
2.36,67466.56
2.5,53272.68
2.64,69458.44
2.77,69086.23
2.91,67925.21
3.05,71217.19
3.18,60017.77
3.32,72036.65
3.45,75436.96
3.59,70807.75
3.73,61190.14
3.86,60037.68
4.0,75518.0
4.14,71414.61
4.27,86638.33
4.41,50000.0
4.55,72741.29
4.68,53475.3
4.82,75349.19
4.95,61831.86
5.09,77885.92
5.23,64274.2
5.36,74786.51
5.5,69747.92
5.64,66581.55
5.77,84973.45
5.91,87402.19
6.05,75339.07
6.18,74404.9
6.32,87803.39
6.45,89318.16
6.59,90048.48
6.73,85333.49
6.86,90086.32
7.0,92889.37
7.14,109652.82
7.27,114808.19
7.41,104781.02
7.55,104037.5
7.68,114630.68
7.82,106824.38
7.95,120366.01
8.09,129095.41
8.23,122560.29
8.36,130743.32
8.5,150630.08
8.64,144007.92
8.77,147080.78
8.91,148105.07
9.05,173151.26
9.18,153323.47
9.32,169024.82
9.45,167933.56
9.59,173114.79
9.73,175919.93
9.86,178878.87
10.0,200000.0
