Business and Finance,the Influence of Business and Finance,Normal
Investment amount ($),ROI (%),Size of the customer base (count)
464636.51,186.51,429949.82
369623.23,254.44,636911.8
281695.17,233.38,100.0
595625.67,423.93,688073.69
125573.86,289.94,148670.36
148634.18,411.58,228379.28
825735.52,386.71,806591.96
966528.84,0.82,677947.53
120858.96,199.12,919953.98
600404.93,154.67,1000000.0
998382.62,46.49,286588.52
234828.64,213.36,588145.87
438223.81,452.91,996842.58
184350.23,192.83,690463.45
