Science and Engineering,the Analysis of Science and Engineering,Long Tail
Innovation score (score),Commercial success value ($),Total project budget ($)
3.28,34671166.62,541177.19
4.51,68434349.31,50000.0
6.07,88047797.56,376031.9
1.2,98993600.81,1014055.86
3.67,59358151.32,3169955.85
4.76,34284711.09,174831.42
7.12,16630452.61,193003.34
6.92,83816973.44,1898458.11
2.2,16838249.05,572449.62
6.45,47946026.73,1816866.33
2.15,80137114.81,3825577.26
10.45,42251800.23,5000000.0
10.45,82185537.5,974639.19
