Cultural Trends and Influences,the Overview of Cultural Trends and Influences,Random
Artist popularity rank (rank),Commercial impact value ($),Number of people involved/influenced (count)
21.61,18916523.51,100000.0
72.55,458428549.24,100000.0
77.61,804026497.96,69424.7
10.37,979411240.02,100.0
66.19,62908738.32,43169.7
61.54,148457899.34,100000.0
97.16,423344675.55,100000.0
82.12,424239344.39,100000.0
52.19,127125142.0,100000.0
31.53,755083426.5,100000.0
5.19,66903376.15,95749.0
23.35,964267230.01,100000.0
49.64,443287480.11,100000.0
29.09,246235927.81,100000.0
11.27,346754474.68,100000.0
