Energy and Utilities,the Overview of Energy and Utilities,Normal
Production capacity (MW),Efficiency score (%),Total number of utility customers (count)
162147.55,91.93,1000000.0
900009.46,94.43,1000.0
218336.87,64.61,1000000.0
983204.36,56.53,1000000.0
736012.03,74.53,1000000.0
570849.36,54.8,1000000.0
817260.5,55.6,1000000.0
522277.46,92.16,1000000.0
610230.53,72.78,1000000.0
230667.32,83.63,1000000.0
508652.59,85.21,1000000.0
299648.34,63.22,1000000.0
438375.68,88.87,1000000.0
859985.06,73.29,1000000.0
187526.19,65.65,1000000.0
