Sports and Entertainment,the Overview of Sports and Entertainment,Long Tail
Sponsorship amount ($),Revenue ($),Number of viewers (count)
3349418.57,10827456.09,2071332.7
2018590.97,70157790.8,2717439.93
858005.56,753988472.57,1234439.95
9601508.56,144495188.51,1560447.09
4577287.3,846806412.28,10000.0
6782067.06,442096371.66,1073093.17
1092528.08,817786846.9,4641326.85
7053367.89,1000000.0,722245.8
4176957.31,90968630.89,2399199.44
3912558.32,805133486.13,586063.83
2084201.6,656092466.52,10000000.0
2210620.81,757962015.87,254088.81
2538627.05,964411246.08,6089732.21
7305488.96,175520996.56,2396986.69
