Sports and Entertainment,the Distribution of Sports and Entertainment,Random
Sponsorship amount ($),Revenue ($),Number of viewers (count)
1488964.82,130501827.92,7427658.27
8820445.46,806643779.34,5993406.33
8477727.73,779133685.08,4247625.77
8376078.2,36395714.59,1522684.31
6269825.72,609268365.44,7431402.84
9071683.51,208488084.61,8649814.12
2692779.53,565070705.37,687298.29
4672531.14,696528899.77,6266496.79
2561588.08,330612973.82,7741182.49
1732239.74,631132542.46,169617.4
7990820.57,549012410.39,10000.0
9191476.52,890351232.75,5740770.61
6409626.6,921751552.99,8240313.86
10265979.36,864672054.77,2726361.38
564761.96,895961066.02,10000000.0
