Cultural Trends and Influences,the Correlation of Cultural Trends and Influences,Random
Artist popularity rank (rank),Commercial impact value ($),Number of people involved/influenced (count)
24.45,539195289.66,7960.64
85.03,537713938.95,49769.17
14.86,832780393.51,24584.08
15.41,371694734.66,58402.01
18.27,753062226.98,77996.9
3.77,459162308.9,100.0
42.04,245966345.74,74016.91
31.22,906359376.16,44860.92
73.04,483557232.93,48234.39
8.16,470988565.17,35560.81
56.47,823018478.58,49143.37
89.06,175087368.94,67147.76
8.11,970641284.71,100000.0
69.3,747827175.17,59407.01
