Cultural Trends and Influences,the Relationship of Cultural Trends and Influences,Social media mentions (count/day),Adoption rate (%),Number of event attendees (attendees),Linear
73980.0,68.08,1000.0
4403.33,7.97,72357.14
19973.72,36.07,143714.29
82848.47,16.88,215071.43
70581.82,62.47,286428.57
84382.42,46.61,357785.71
2297.06,12.21,429142.86
77269.26,52.08,500500.0
47015.85,32.77,571857.14
101602.1,36.1,643214.29
23171.63,8.35,714571.43
15148.03,75.44,785928.57
16459.85,10.66,857285.71
81243.0,78.98,928642.86
38366.16,58.9,1000000.0
