Business and Finance,the Relationship of Business and Finance,Random
Company revenue ($),Profit margin (%),Total number of employees (count)
879709740.49,18.55,10000.0
239305810.18,6.9,10000.0
43508174.52,10.29,10000.0
732594408.67,6.33,10000.0
139473565.76,17.47,10000.0
572365323.0,7.03,10000.0
111356275.49,16.63,10.0
379552907.81,3.22,10000.0
407144271.98,17.91,10000.0
209864253.42,47.15,10000.0
105513067.54,50.05,10000.0
463165375.69,4.81,10000.0
702081198.74,41.53,10000.0
783656484.66,10.02,10000.0
368132961.86,13.83,10000.0
