Energy and Utilities,the Analysis of Energy and Utilities,Normal
Production capacity (MW),Efficiency score (%),Total number of utility customers (count)
816444.27,67.81,620204.41
178156.54,90.18,644287.25
986643.76,85.55,376312.97
346151.19,86.09,386669.71
682550.05,70.59,815143.84
145890.41,86.02,563934.89
581673.12,68.45,586575.88
260259.69,62.77,1000000.0
782184.75,84.91,970279.03
725908.15,86.47,694427.57
757512.68,76.82,1000.0
522212.59,77.72,859151.54
30388.63,51.53,828939.42
867304.44,89.56,700335.01
