Social Media and Digital Media and Streaming,the Distribution of Social Media and Digital Media and Streaming,Normal
Ad spend ($),Conversion rate (%),Total number of subscribers (count)
27997.17,0.16,7671310.57
51298.54,2.07,4391415.05
56943.95,7.0,3259301.04
11795.4,5.66,3739643.91
54614.09,2.46,4533152.35
18724.54,2.74,1000.0
49508.62,2.31,10000000.0
29829.72,2.09,6712573.8
90140.45,3.56,7601928.35
32370.19,8.34,3313730.55
40144.91,8.06,3383425.47
47270.86,9.16,7021396.5
77701.3,6.58,2960357.87
52876.93,0.86,8771453.08
48126.62,4.59,7091645.93
