Science and Engineering,the Influence of Science and Engineering,Linear
Innovation score (score),Commercial success value ($),Total project budget ($)
3.71,18343793.6,50000.0
5.22,84826094.27,430769.23
5.34,42151155.25,811538.46
1.29,93493990.97,1192307.69
6.08,80401663.57,1573076.92
4.25,66110897.85,1953846.15
5.76,10000.0,2334615.38
4.15,4194025.4,2715384.62
6.43,39872034.54,3096153.85
3.88,37539556.19,3476923.08
1.73,89553373.59,3857692.31
4.12,36685828.88,4238461.54
9.36,49350252.75,4619230.77
4.03,82893493.14,5000000.0
