Retail and E-commerce,E-Commerce Platform Interactions and Partnerships
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,UrbanMart Superstore,9,OfficeDen Supplies,payment_channel
0,UrbanMart Superstore,2,TechHive Electronics,supplier_buyer
0,UrbanMart Superstore,3,GreenBasket Grocery,product_bundle
0,UrbanMart Superstore,7,DailyStyle Apparel,affiliate_link
0,UrbanMart Superstore,4,FurnitureCo Home Store,payment_channel
1,FashionLane Boutique,0,UrbanMart Superstore,logistics_flow
1,FashionLane Boutique,9,OfficeDen Supplies,affiliate_link
1,FashionLane Boutique,5,Sparkle Jewelry,product_bundle
1,FashionLane Boutique,7,DailyStyle Apparel,product_bundle
1,FashionLane Boutique,6,NextStep Shoe Center,payment_channel
2,TechHive Electronics,3,GreenBasket Grocery,supplier_buyer
2,TechHive Electronics,7,DailyStyle Apparel,affiliate_link
2,TechHive Electronics,1,FashionLane Boutique,logistics_flow
2,TechHive Electronics,8,SmartBuy Hypermart,affiliate_link
2,TechHive Electronics,4,FurnitureCo Home Store,supplier_buyer
