Energy and Utilities,Energy Firms Collaboration Map 
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Central Transit Station,9,Downtown Transfer Terminal,energy_transfer
0,Central Transit Station,4,Summit Cable Car Station,energy_transfer
0,Central Transit Station,1,Oceanview Ferry Terminal,renewable_integration
0,Central Transit Station,8,Hilltop Tram Station,energy_transfer
0,Central Transit Station,10,Skyport Air Station,renewable_integration
1,Oceanview Ferry Terminal,10,Skyport Air Station,power_station_link
1,Oceanview Ferry Terminal,5,Silverline Monorail Station,power_station_link
1,Oceanview Ferry Terminal,6,Rivertown Bus Depot,supply_contract
1,Oceanview Ferry Terminal,3,Eastside Metro Station,power_station_link
1,Oceanview Ferry Terminal,9,Downtown Transfer Terminal,supply_contract
2,Northgate Railway Hub,10,Skyport Air Station,energy_transfer
2,Northgate Railway Hub,8,Hilltop Tram Station,supply_contract
2,Northgate Railway Hub,1,Oceanview Ferry Terminal,energy_transfer
2,Northgate Railway Hub,7,Golden Bridge Port,supply_contract
2,Northgate Railway Hub,9,Downtown Transfer Terminal,power_station_link
