Education and Academics,Global Academic Institutions Partnership Map
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Greenwood High School,4,Hillcrest Technical School,research_collaboration
0,Greenwood High School,11,Trinity Language School,student_exchange
0,Greenwood High School,7,Sunrise Montessori School,academic_advising
0,Greenwood High School,9,Meadowlark Middle School,research_collaboration
0,Greenwood High School,1,Starlight Elementary School,research_collaboration
1,Starlight Elementary School,4,Hillcrest Technical School,academic_advising
1,Starlight Elementary School,2,Oakridge International Academy,joint_program
1,Starlight Elementary School,7,Sunrise Montessori School,funding_support
1,Starlight Elementary School,5,Silverstream Science School,student_exchange
1,Starlight Elementary School,9,Meadowlark Middle School,student_exchange
2,Oakridge International Academy,9,Meadowlark Middle School,funding_support
2,Oakridge International Academy,3,Riverside Public School,academic_advising
2,Oakridge International Academy,11,Trinity Language School,funding_support
2,Oakridge International Academy,7,Sunrise Montessori School,funding_support
2,Oakridge International Academy,6,Beacon Arts Academy,research_collaboration
8,Westfield Engineering School,9,Meadowlark Middle School,research_collaboration
10,Harborview STEM School,9,Meadowlark Middle School,joint_program
