Energy and Utilities,Energy Firms Collaboration Map 
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Central Transit Station,6,Rivertown Bus Depot,renewable_integration
0,Central Transit Station,9,Downtown Transfer Terminal,supply_contract
0,Central Transit Station,2,Northgate Railway Hub,supply_contract
0,Central Transit Station,5,Silverline Monorail Station,renewable_integration
0,Central Transit Station,1,Oceanview Ferry Terminal,supply_contract
1,Oceanview Ferry Terminal,3,Eastside Metro Station,power_station_link
1,Oceanview Ferry Terminal,9,Downtown Transfer Terminal,energy_transfer
1,Oceanview Ferry Terminal,5,Silverline Monorail Station,renewable_integration
1,Oceanview Ferry Terminal,7,Golden Bridge Port,power_station_link
1,Oceanview Ferry Terminal,6,Rivertown Bus Depot,grid_connection
2,Northgate Railway Hub,5,Silverline Monorail Station,supply_contract
2,Northgate Railway Hub,8,Hilltop Tram Station,power_station_link
2,Northgate Railway Hub,10,Skyport Air Station,supply_contract
2,Northgate Railway Hub,9,Downtown Transfer Terminal,power_station_link
2,Northgate Railway Hub,3,Eastside Metro Station,power_station_link
4,Summit Cable Car Station,9,Downtown Transfer Terminal,grid_connection
