Business and Finance,Corporate Mergers and Partnerships
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Orion Tech Corporation,2,NovaGen Biotech,merger_link
0,Orion Tech Corporation,1,Evergreen Logistics Ltd.,financial_transaction
0,Orion Tech Corporation,3,Summit Financial Group,supply_contract
0,Orion Tech Corporation,4,Bluewave Energy Inc.,supply_contract
1,Evergreen Logistics Ltd.,2,NovaGen Biotech,financial_transaction
1,Evergreen Logistics Ltd.,3,Summit Financial Group,strategic_alliance
1,Evergreen Logistics Ltd.,4,Bluewave Energy Inc.,financial_transaction
2,NovaGen Biotech,3,Summit Financial Group,strategic_alliance
2,NovaGen Biotech,4,Bluewave Energy Inc.,strategic_alliance
3,Summit Financial Group,4,Bluewave Energy Inc.,supply_contract
