Energy and Utilities,Energy Firms Collaboration Map 
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Central Transit Station,4,Summit Cable Car Station,supply_contract
0,Central Transit Station,6,Rivertown Bus Depot,energy_transfer
0,Central Transit Station,2,Northgate Railway Hub,supply_contract
0,Central Transit Station,9,Downtown Transfer Terminal,supply_contract
0,Central Transit Station,10,Skyport Air Station,supply_contract
1,Oceanview Ferry Terminal,8,Hilltop Tram Station,grid_connection
1,Oceanview Ferry Terminal,2,Northgate Railway Hub,grid_connection
1,Oceanview Ferry Terminal,6,Rivertown Bus Depot,grid_connection
1,Oceanview Ferry Terminal,10,Skyport Air Station,power_station_link
1,Oceanview Ferry Terminal,4,Summit Cable Car Station,supply_contract
2,Northgate Railway Hub,10,Skyport Air Station,supply_contract
2,Northgate Railway Hub,4,Summit Cable Car Station,energy_transfer
2,Northgate Railway Hub,5,Silverline Monorail Station,power_station_link
2,Northgate Railway Hub,3,Eastside Metro Station,supply_contract
2,Northgate Railway Hub,6,Rivertown Bus Depot,power_station_link
7,Golden Bridge Port,8,Hilltop Tram Station,energy_transfer
