Tourism and Hospitality,Regional Tourist Flow Connections
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Paris Historical Spot,5,Bali Beach Resort,tourism_package_link
0,Paris Historical Spot,1,Kyoto Temple Area,sightseeing_bus_connection
0,Paris Historical Spot,3,Rome Ancient Ruins,hotel_chain_membership
0,Paris Historical Spot,9,Venice Canal District,sightseeing_bus_connection
0,Paris Historical Spot,8,Cairo Pyramid Zone,tourism_package_link
1,Kyoto Temple Area,8,Cairo Pyramid Zone,tourism_package_link
1,Kyoto Temple Area,6,Beijing Forbidden Site,hotel_chain_membership
1,Kyoto Temple Area,4,Santorini Scenic Viewpoint,tour_route
1,Kyoto Temple Area,3,Rome Ancient Ruins,sightseeing_bus_connection
1,Kyoto Temple Area,2,New York City Landmark,sightseeing_bus_connection
2,New York City Landmark,3,Rome Ancient Ruins,shared_transport
2,New York City Landmark,8,Cairo Pyramid Zone,tour_route
2,New York City Landmark,0,Paris Historical Spot,tour_route
2,New York City Landmark,6,Beijing Forbidden Site,tourism_package_link
2,New York City Landmark,5,Bali Beach Resort,sightseeing_bus_connection
7,London Royal Garden,3,Rome Ancient Ruins,sightseeing_bus_connection
