Retail and E-commerce,E-Commerce Platform Interactions and Partnerships
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,UrbanMart Superstore,3,GreenBasket Grocery,affiliate_link
0,UrbanMart Superstore,9,OfficeDen Supplies,product_bundle
0,UrbanMart Superstore,7,DailyStyle Apparel,affiliate_link
0,UrbanMart Superstore,8,SmartBuy Hypermart,logistics_flow
0,UrbanMart Superstore,4,FurnitureCo Home Store,supplier_buyer
1,FashionLane Boutique,0,UrbanMart Superstore,product_bundle
1,FashionLane Boutique,2,TechHive Electronics,logistics_flow
1,FashionLane Boutique,9,OfficeDen Supplies,logistics_flow
1,FashionLane Boutique,4,FurnitureCo Home Store,payment_channel
1,FashionLane Boutique,8,SmartBuy Hypermart,product_bundle
2,TechHive Electronics,5,Sparkle Jewelry,affiliate_link
2,TechHive Electronics,9,OfficeDen Supplies,supplier_buyer
2,TechHive Electronics,3,GreenBasket Grocery,logistics_flow
2,TechHive Electronics,4,FurnitureCo Home Store,supplier_buyer
2,TechHive Electronics,0,UrbanMart Superstore,supplier_buyer
6,NextStep Shoe Center,3,GreenBasket Grocery,product_bundle
