Healthcare and Health,Inter-Clinic Referral Relationships
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,St. Mary's General Hospital,10,Providence Women's Hospital,specialty_sharing
0,St. Mary's General Hospital,7,Hope Valley Hospital,medical_collaboration
0,St. Mary's General Hospital,5,Riverside Mental Health Center,medical_collaboration
0,St. Mary's General Hospital,13,Summit Neurology Center,referral_path
0,St. Mary's General Hospital,2,Cityview Children's Hospital,patient_transfer
1,Evercare Medical Center,7,Hope Valley Hospital,specialty_sharing
1,Evercare Medical Center,11,Trinity Orthopedic Hospital,patient_transfer
1,Evercare Medical Center,6,Global Health Clinic,healthcare_network
1,Evercare Medical Center,10,Providence Women's Hospital,referral_path
1,Evercare Medical Center,0,St. Mary's General Hospital,healthcare_network
2,Cityview Children's Hospital,6,Global Health Clinic,medical_collaboration
2,Cityview Children's Hospital,3,Mercy Heart Institute,patient_transfer
2,Cityview Children's Hospital,12,Pinecrest Regional Hospital,specialty_sharing
2,Cityview Children's Hospital,11,Trinity Orthopedic Hospital,healthcare_network
2,Cityview Children's Hospital,13,Summit Neurology Center,medical_collaboration
4,Sunrise Rehabilitation Hospital,11,Trinity Orthopedic Hospital,medical_collaboration
8,Northfield Emergency Center,10,Providence Women's Hospital,specialty_sharing
9,Oceanview Cancer Institute,4,Sunrise Rehabilitation Hospital,healthcare_network
