Tourism and Hospitality,Regional Tourist Flow Connections
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Paris Historical Spot,3,Rome Ancient Ruins,sightseeing_bus_connection
0,Paris Historical Spot,6,Beijing Forbidden Site,shared_transport
0,Paris Historical Spot,4,Santorini Scenic Viewpoint,hotel_chain_membership
0,Paris Historical Spot,5,Bali Beach Resort,sightseeing_bus_connection
0,Paris Historical Spot,7,London Royal Garden,tourism_package_link
1,Kyoto Temple Area,9,Venice Canal District,shared_transport
1,Kyoto Temple Area,4,Santorini Scenic Viewpoint,sightseeing_bus_connection
1,Kyoto Temple Area,7,London Royal Garden,shared_transport
1,Kyoto Temple Area,5,Bali Beach Resort,hotel_chain_membership
1,Kyoto Temple Area,6,Beijing Forbidden Site,hotel_chain_membership
2,New York City Landmark,9,Venice Canal District,sightseeing_bus_connection
2,New York City Landmark,5,Bali Beach Resort,sightseeing_bus_connection
2,New York City Landmark,1,Kyoto Temple Area,tourism_package_link
2,New York City Landmark,7,London Royal Garden,tourism_package_link
2,New York City Landmark,0,Paris Historical Spot,hotel_chain_membership
8,Cairo Pyramid Zone,6,Beijing Forbidden Site,sightseeing_bus_connection
