Healthcare and Health,Inter-Clinic Referral Relationships
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,St. Mary's General Hospital,7,Hope Valley Hospital,patient_transfer
0,St. Mary's General Hospital,2,Cityview Children's Hospital,medical_collaboration
0,St. Mary's General Hospital,1,Evercare Medical Center,healthcare_network
0,St. Mary's General Hospital,9,Oceanview Cancer Institute,healthcare_network
0,St. Mary's General Hospital,3,Mercy Heart Institute,medical_collaboration
1,Evercare Medical Center,10,Providence Women's Hospital,medical_collaboration
1,Evercare Medical Center,9,Oceanview Cancer Institute,patient_transfer
1,Evercare Medical Center,5,Riverside Mental Health Center,referral_path
1,Evercare Medical Center,12,Pinecrest Regional Hospital,patient_transfer
1,Evercare Medical Center,6,Global Health Clinic,referral_path
2,Cityview Children's Hospital,12,Pinecrest Regional Hospital,specialty_sharing
2,Cityview Children's Hospital,10,Providence Women's Hospital,specialty_sharing
2,Cityview Children's Hospital,3,Mercy Heart Institute,specialty_sharing
2,Cityview Children's Hospital,1,Evercare Medical Center,medical_collaboration
2,Cityview Children's Hospital,5,Riverside Mental Health Center,specialty_sharing
4,Sunrise Rehabilitation Hospital,9,Oceanview Cancer Institute,specialty_sharing
8,Northfield Emergency Center,4,Sunrise Rehabilitation Hospital,referral_path
11,Trinity Orthopedic Hospital,8,Northfield Emergency Center,patient_transfer
13,Summit Neurology Center,4,Sunrise Rehabilitation Hospital,healthcare_network
