Real Estate and Housing Market,Interconnected Housing Projects by Region
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Willow Creek Estate,6,Golden Terrace Apartments,property_exchange
0,Willow Creek Estate,4,Pinehill Townhomes,property_exchange
0,Willow Creek Estate,7,Maplewood Park Homes,lease_chain
0,Willow Creek Estate,9,Lakeside Heights,lease_chain
0,Willow Creek Estate,10,Hilltop Luxury Condos,property_exchange
1,Sunset Villas Complex,10,Hilltop Luxury Condos,rental_agreement
1,Sunset Villas Complex,5,Harborview Condominiums,broker_affiliation
1,Sunset Villas Complex,0,Willow Creek Estate,rental_agreement
1,Sunset Villas Complex,3,Emerald Tower,rental_agreement
1,Sunset Villas Complex,9,Lakeside Heights,real_estate_agency_link
2,Riverstone Residences,10,Hilltop Luxury Condos,rental_agreement
2,Riverstone Residences,8,Crystal Bay Residence,property_exchange
2,Riverstone Residences,7,Maplewood Park Homes,property_exchange
2,Riverstone Residences,11,Oceanfront Horizon Estate,broker_affiliation
2,Riverstone Residences,5,Harborview Condominiums,real_estate_agency_link
