Healthcare and Health,Inter-Clinic Referral Relationships
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,St. Mary's General Hospital,7,Hope Valley Hospital,referral_path
0,St. Mary's General Hospital,6,Global Health Clinic,referral_path
0,St. Mary's General Hospital,5,Riverside Mental Health Center,patient_transfer
0,St. Mary's General Hospital,3,Mercy Heart Institute,healthcare_network
0,St. Mary's General Hospital,2,Cityview Children's Hospital,medical_collaboration
1,Evercare Medical Center,12,Pinecrest Regional Hospital,medical_collaboration
1,Evercare Medical Center,5,Riverside Mental Health Center,patient_transfer
1,Evercare Medical Center,4,Sunrise Rehabilitation Hospital,specialty_sharing
1,Evercare Medical Center,0,St. Mary's General Hospital,patient_transfer
1,Evercare Medical Center,10,Providence Women's Hospital,specialty_sharing
2,Cityview Children's Hospital,13,Summit Neurology Center,specialty_sharing
2,Cityview Children's Hospital,8,Northfield Emergency Center,referral_path
2,Cityview Children's Hospital,11,Trinity Orthopedic Hospital,referral_path
2,Cityview Children's Hospital,3,Mercy Heart Institute,referral_path
2,Cityview Children's Hospital,7,Hope Valley Hospital,patient_transfer
9,Oceanview Cancer Institute,4,Sunrise Rehabilitation Hospital,healthcare_network
