Education and Academics,Global Academic Institutions Partnership Map
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Greenwood High School,1,Starlight Elementary School,research_collaboration
0,Greenwood High School,10,Harborview STEM School,joint_program
0,Greenwood High School,3,Riverside Public School,student_exchange
0,Greenwood High School,4,Hillcrest Technical School,funding_support
0,Greenwood High School,6,Beacon Arts Academy,funding_support
1,Starlight Elementary School,6,Beacon Arts Academy,academic_advising
1,Starlight Elementary School,4,Hillcrest Technical School,research_collaboration
1,Starlight Elementary School,9,Meadowlark Middle School,student_exchange
1,Starlight Elementary School,8,Westfield Engineering School,funding_support
1,Starlight Elementary School,2,Oakridge International Academy,research_collaboration
2,Oakridge International Academy,8,Westfield Engineering School,student_exchange
2,Oakridge International Academy,7,Sunrise Montessori School,funding_support
2,Oakridge International Academy,3,Riverside Public School,funding_support
2,Oakridge International Academy,4,Hillcrest Technical School,academic_advising
2,Oakridge International Academy,10,Harborview STEM School,funding_support
5,Silverstream Science School,9,Meadowlark Middle School,joint_program
11,Trinity Language School,8,Westfield Engineering School,joint_program
