Science and Engineering,Collaborative Links Between Research Labs and Universities
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Global Policy Institute,4,Energy Innovation Lab,tech_transfer
0,Global Policy Institute,9,Cultural Heritage Institute,co_authorship
0,Global Policy Institute,1,Institute of Robotics and AI,co_authorship
0,Global Policy Institute,3,Biomedical Research Institute,patent_sharing
0,Global Policy Institute,8,Neuroscience Research Group,tech_transfer
1,Institute of Robotics and AI,7,Advanced Mathematics Institute,co_authorship
1,Institute of Robotics and AI,3,Biomedical Research Institute,research_funding
1,Institute of Robotics and AI,6,Center for Data Ethics,co_authorship
1,Institute of Robotics and AI,9,Cultural Heritage Institute,research_funding
1,Institute of Robotics and AI,4,Energy Innovation Lab,co_authorship
2,Climate Research Center,1,Institute of Robotics and AI,joint_lab
2,Climate Research Center,3,Biomedical Research Institute,research_funding
2,Climate Research Center,4,Energy Innovation Lab,patent_sharing
2,Climate Research Center,7,Advanced Mathematics Institute,research_funding
2,Climate Research Center,8,Neuroscience Research Group,tech_transfer
5,Ocean Studies Institute,3,Biomedical Research Institute,research_funding
