Social Media and Digital Media and Streaming, Number of daily viewers on different video platforms, viewers, skewed
SceneX,Zoomo,Glimpr,PlayBit,Viewly,Reelix
6186,32747,14752,10656,4767,6428
10052,31531,5576,18722,3518,15276
10366,20348,8526,11827,4435,10424
2634,29521,15312,13249,5886,10538
2240,22669,10181,11495,5783,10826
5041,26932,6356,11722,4312,4863
11494,25690,13911,11821,3016,13421
7271,36028,7227,10916,3533,11066
6255,27090,15347,18323,2305,5729
7329,31791,7254,12169,3032,4894
6045,28615,3858,12601,5523,11377
7216,31402,4075,12942,8937,15501
1687,26181,5668,9678,5305,12786
1798,21053,13862,13368,7231,6752
6977,42706,10884,11870,5511,8015
4752,28057,7504,13856,9543,4354
7115,24966,3573,10499,5812,12683
11296,29786,10037,14028,4339,19044
5445,27531,4698,10535,4865,11016
6069,32475,14355,14922,4299,10974
11467,29104,13870,13542,5501,4706
4713,32184,17132,10074,8218,13337
2194,27210,5247,14597,6367,11439
6553,20158,11149,13191,5219,11017
12371,21880,4754,12294,7737,5333
9544,21509,19617,10416,7048,4692
10277,28338,13111,10910,2416,7549
5986,28946,5563,13351,7641,5779
7765,23931,7347,11219,4359,7425
16286,29995,3141,11183,8251,18220
6737,24021,18215,11539,3997,7803
11173,23607,19975,10560,3650,7753
2063,23297,8327,10318,3808,16418
3818,32667,6514,10238,5444,9919
4280,29880,5932,10638,3752,6355
8790,20701,3336,12515,3570,10409
6729,36272,16915,15168,3219,8154
5661,28976,14926,15756,3476,10146
3408,32159,11828,11291,5031,7221
5174,39830,7103,12675,2996,24567
5112,23211,3482,9732,4943,4782
9668,26470,5751,12132,4062,9497
10834,36100,12082,10377,2761,12605
1936,25182,8667,16125,3363,10234
5758,29533,12969,14033,2912,18211
2680,23166,7970,12489,3943,8212
7748,24109,14621,12293,3222,18925
4993,29023,11716,12250,8057,7187
4037,35807,24412,12854,2865,12848
14266,28170,13690,14160,4642,13283
10977,31739,4851,11952,5807,14582
6408,23216,4475,12089,5464,11779
7531,28069,8179,19217,4636,9436
2455,22603,1800,14044,4679,21439
5367,23255,16917,14288,7992,6376
10061,29844,11711,11888,4325,11989
8562,22494,9778,12624,3713,8760
7282,22083,6235,13216,3571,7516
7760,23164,8158,15707,4205,5381
3871,20948,16253,15659,2951,19030
8566,21008,2599,12113,9812,19714
4477,26942,18043,10663,6460,7935
12051,25464,21360,11176,4631,10970
1603,31459,3352,9377,6061,13367
6182,31735,5366,12309,3129,7120
2315,23367,7922,13762,5697,9706
6163,24231,8497,18562,3654,17585
3313,27562,6067,10909,7344,25115
7185,23889,6809,10081,4868,5927
11075,30839,18176,11501,4257,5285
2328,23385,9839,13318,3617,8956
6160,37233,10684,9526,7669,10762
3275,25153,4894,16949,6286,7641
4622,23220,23733,19148,9063,10757
6554,24228,4415,13334,2824,20567
3423,30859,2482,13124,7865,14913
13324,23559,7178,15590,3877,9759
12791,22315,12966,15646,6647,5638
11296,24692,6820,17132,4956,7061
6189,25060,7213,14591,9715,12393
8524,31427,6567,12752,2592,9348
3408,22153,4464,10955,4943,8032
11513,34594,7584,19143,6098,9237
1609,23599,8486,12482,2205,6899
10040,21391,3202,13574,9041,18132
10306,26558,14632,14785,3370,8191
2908,24281,4893,12636,7243,6163
9581,22654,9451,9571,4892,11023
7187,28336,17678,12030,3576,13733
4348,23314,20552,11457,10191,4917
3860,22475,3379,12666,4280,15462
5322,21910,3967,12578,4539,8237
9542,34275,3039,12005,5909,8430
13138,22943,4327,12459,6561,6692
10630,30111,6014,11690,6166,15665
3384,31710,21901,11612,9214,8582
3437,21103,9984,10336,6051,5211
11218,25075,6243,12664,2263,11856
8491,25202,9318,13739,3321,24215
8317,22042,5488,11459,3857,6833
10210,27897,15676,13985,4237,9334
3426,33754,14288,10841,4031,11935
7127,23585,12256,10074,3866,13523
7200,21714,4859,10920,7184,19719
3946,30945,14379,14721,7723,16195
6551,23376,16921,11161,7986,13441
2740,32128,12841,11971,5038,8908
7665,30563,2757,13183,2298,10158
8044,24048,2612,12724,4459,5633
8247,24456,17821,14362,7972,25845
1956,23330,22755,14849,5761,10882
6338,20967,6459,11454,5035,16900
3595,23041,2064,18061,3587,9846
2996,34833,4757,10767,8984,8594
8462,24931,13179,11757,3796,6783
2477,40375,2069,10974,6217,8114
5355,24932,16908,12067,4976,5383
5480,22909,11639,11466,4484,14807
