Tourism and Hospitality, Statistics on the number of one-day visitors to different attractions, Visitors, t
Lotus Temple,Sunset Cliff,Hidden Valley,Celestial Arch,Whisper Reef,Emerald Beach,Crystal Falls
4686,7185,12105,11532,12600,7124,9653
6056,10773,5081,5923,8285,15058,7789
323,6633,10790,6667,5393,4843,12395
4574,5679,7535,9193,2240,12404,15339
16820,2550,10510,10441,8515,11092,12871
2855,6902,9009,5789,13722,11432,9201
11754,2493,7460,7725,9873,9656,9938
5951,8339,9359,5344,4649,14019,5120
10169,6847,16631,11535,10444,8577,10826
12126,11100,8341,7151,12035,12526,8305
8598,5606,7204,4482,9807,11363,9508
2670,4673,6229,8440,8469,12378,9603
6934,12394,8836,8966,9088,2474,4460
2616,8491,14281,8142,12667,10223,8285
2443,5963,5290,756,9884,6830,9751
7795,8284,14269,7760,8118,6512,8785
14046,5474,10911,16691,5518,4738,10725
7024,5664,7783,3877,9202,9082,9896
4621,6546,5040,5269,4042,8519,8085
6740,9143,13271,1054,9621,6051,10967
5908,2261,6902,2072,6786,15339,7180
7324,7864,7328,13552,9447,19935,7111
3342,7784,7770,9999,1421,9387,8618
6700,8108,8696,12402,9656,9290,12625
12502,12922,8471,6747,3765,9850,6775
10691,7971,3135,8383,13455,7041,8428
3362,10125,3004,8187,3157,12210,9120
11847,5893,4335,11810,10105,10445,9536
13410,8381,3281,7787,7695,6574,5775
3626,7581,8786,13396,10174,8383,9837
7000,9203,13550,2003,17274,5226,11007
8035,4783,8176,8867,12788,10030,4822
6833,7091,6314,9765,735,12384,19341
9237,10880,10033,8989,11957,8055,2838
7348,7555,11950,9260,10057,7233,12529
7405,7444,8799,10380,2256,8781,7302
8907,3185,5147,6700,8018,8925,7346
1018,2934,9608,12242,18367,10877,11222
2853,8743,8471,7142,6634,8248,5996
8942,8455,6353,7573,5293,3936,10255
6984,11300,9542,10125,15571,11033,7907
14949,4590,5183,4790,10539,12857,8493
10235,7899,3779,8894,10885,9825,5794
8035,5457,10725,1442,9922,19961,8690
6234,11753,9550,11689,9280,10143,7578
7706,8419,6701,7102,14664,12541,10595
15124,4240,10295,6455,10516,9001,9371
7485,8463,11231,9751,5778,6644,8663
3757,9756,7763,5056,8367,10359,6641
6335,8378,9748,12238,8811,6685,8788
7333,6524,13770,6601,8288,12123,11442
5572,3918,7636,5603,4968,1583,3745
13506,13554,4637,7671,9921,8705,6325
11033,7243,10754,7485,8661,3403,10929
7861,4485,8645,10155,7875,10770,4739
8393,5869,9266,10352,7386,6779,8300
1454,6253,6471,889,5260,11691,16660
6789,6428,6554,10237,11969,9357,5665
11637,7816,8810,8086,6536,7944,10089
15175,11285,4654,8780,10339,11314,11984
7598,10931,10222,12469,7156,7775,9289
3474,4460,9859,8930,4050,10010,13121
9211,7027,12521,8635,3866,10500,8400
14609,5960,7775,12308,6731,6931,10795
10693,11262,10910,9969,14664,6000,9821
12672,8208,8898,7996,7829,6575,7400
10803,4652,7992,8081,12987,13952,11240
7192,3532,9870,11775,9773,10731,8692
2949,6181,3306,3644,10854,9360,9382
10373,7294,6506,5482,6832,10309,10233
6966,6892,6031,10987,2474,7632,4924
8242,3839,6148,6836,6244,9564,10163
8280,10645,9251,9043,12992,10755,8494
10068,9423,6589,9925,7255,6011,7201
1352,5168,8741,7996,8417,7785,18550
3953,5774,4228,17964,3030,8498,6846
3972,7538,8341,7246,14031,7215,7541
3668,7804,15394,4431,5256,6157,4255
6046,7539,8668,6721,8282,6343,14494
614,10461,2532,3068,7517,10998,9474
8812,4448,8585,4431,10679,8965,3520
12253,2785,11383,7673,5102,9146,855
5325,8760,6556,14796,11525,10982,8155
7840,12368,886,9482,6618,5060,8838
13943,7985,1398,12267,12584,9695,3442
1876,4710,5577,11058,11121,7413,6581
10563,7297,7661,14815,5776,8705,10007
6503,6593,8542,3594,5300,16698,9430
7935,6338,5752,12453,17407,7505,4448
12515,5824,9004,4160,7202,12442,10957
5971,6503,7661,8875,8556,10145,7225
4367,10032,6609,8821,4515,10064,8991
6584,11153,13313,11760,11209,10618,10900
5021,6754,3905,7783,3726,10391,9500
10565,4210,7082,8600,871,12470,11526
12765,5300,6480,8933,11854,9740,7590
7350,2030,10323,9799,12148,9080,9072
5938,3747,7473,6473,10728,5154,11813
7532,10938,11388,16029,15849,10207,6345
3881,7826,5848,11215,6727,8706,8062
11505,7654,4472,7235,10005,5229,8783
2679,12031,5896,8107,17337,7417,4375
7876,8271,10519,6665,7414,7296,1917
8086,8525,9821,4744,11678,7369,8739
7207,6908,8471,7884,7283,7024,12049
10668,11418,9685,3865,12279,9837,13265
7658,10583,6397,4183,10773,12654,6181
8123,7547,4424,17422,9996,6258,7965
4648,6905,7203,4856,9840,9400,8120
1204,6713,12674,7933,4511,12616,16531
4780,7365,8428,8636,2489,10384,7932
8223,4769,11312,2762,7771,12169,7343
5078,8582,11942,12198,15218,10920,8915
6806,7385,9798,8936,5908,9158,8085
14727,10388,4534,18625,10037,9535,5194
