Social Media and Digital Media and Streaming, Number of daily viewers on different video platforms, viewers, t
Viewly,PixelX,Zoomo,Vido,Showio,Reelix,Glimpr
9696,8471,31578,12843,15052,21948,25536
9662,10988,22479,12066,21677,18566,26338
3433,5943,27126,28160,14429,17857,25084
6890,6912,27440,14093,17400,19481,11669
5671,9855,27665,15523,19024,20986,21756
6181,8605,29487,12840,20336,23805,13394
8145,9002,29405,10943,22175,18123,18415
8537,5107,32445,1448,18634,20333,17196
6688,4508,33043,7281,19487,18764,20466
9247,10968,29558,19840,16873,22314,19044
7412,1967,29093,11660,13835,28631,31398
157,4236,23835,4413,17602,24963,17473
1717,9961,26734,12891,15472,18571,11393
3825,6106,31258,19171,17565,24346,18632
5772,11733,30620,14480,20871,15486,16829
4957,7629,28396,15199,8697,19688,17982
4685,2575,25320,13495,19163,20472,16551
9201,1987,26882,17192,21443,19826,20016
7696,3176,27468,16391,9820,25725,18993
6843,5647,25173,11702,17515,19822,17579
9476,7689,25997,21239,15846,24363,18181
4121,8534,27649,12350,15042,24699,25799
13345,4978,29224,10832,17028,18343,31622
12378,3364,29287,13190,23717,22022,19807
3584,5382,27077,9862,16507,20203,14765
6475,6761,28109,20973,16428,20679,13313
6144,2522,30541,2382,15155,18702,12844
10460,6149,23950,13345,14215,19046,22311
9151,7228,28932,17984,22594,24527,10955
5041,6710,27331,12797,18288,13171,21034
11923,7405,29832,9488,16987,20237,19636
11299,7849,24705,19651,18110,20606,24763
11336,6600,23401,12661,14440,25652,18301
4886,8490,23106,14530,21952,19873,20009
8745,8029,27683,11269,25393,21157,20362
7681,3642,26035,17923,13104,23872,21954
7297,5429,32106,20649,22104,28413,14394
4337,6088,30159,17684,24661,20172,9890
10372,3824,28726,13688,19499,17088,17061
7789,7642,26380,26486,21325,20542,21268
2928,9336,28851,5245,11254,25869,12157
7370,7429,19972,14492,17796,21662,19103
3226,6918,28362,17902,17298,22109,15040
7691,8715,27262,7956,17274,22626,15905
12456,13451,29685,10053,18764,20425,10848
6986,4155,26853,15783,15266,16617,29932
7262,7619,21843,6099,20888,21374,15911
1952,4789,31097,20904,20539,22520,16845
9851,10918,28201,4427,15986,23460,15751
6189,5452,27218,7348,20615,19844,29259
1358,4466,25969,26932,13233,22687,21447
6401,9194,19451,14845,15458,16304,21237
7344,6146,30390,27030,15214,25314,16007
7231,10143,26771,21448,19540,16716,18448
6520,2205,26942,5814,19845,24535,16811
6362,3604,28829,20120,20416,22257,18613
10130,5347,25524,15170,18926,15223,24135
12507,10313,30449,11842,21714,22170,13247
14152,623,27593,16524,14931,21475,15961
14107,5906,25224,17357,11471,22178,16713
7191,11828,25642,13802,14095,21052,19925
12769,6957,30299,4555,19260,20823,20888
8810,8556,28849,12746,19285,22703,11882
6992,4784,25923,13145,18005,15933,28674
4335,9117,26295,16589,16602,23914,19367
6446,7946,25066,20027,20651,15900,23767
1418,6586,29309,19012,20400,22036,24965
4880,10084,24793,20376,16467,24191,17234
10046,9176,28502,13362,17569,22963,29651
16713,471,28272,15467,19503,20993,29202
1248,8795,22001,11702,17847,8736,12591
5676,4922,27991,26888,20838,21608,19283
7938,7160,26380,21845,13591,19927,17274
14053,5551,26427,15243,24173,16087,14892
4682,9053,28717,15209,8533,24126,28474
8281,9722,26270,16149,19437,25533,20706
9408,9118,22562,20421,22539,19520,29746
12739,10913,23502,14542,17627,23898,22620
8478,9446,31266,14271,14967,26276,14663
5834,9334,29132,11121,22331,19628,12387
9769,8190,28663,6565,10949,22487,18611
7044,9775,31290,12288,19073,25980,17073
7104,7131,27968,15111,17272,17885,24600
6900,5224,22265,19063,20781,23505,13776
4203,9504,26229,21988,23135,18441,16626
5978,5271,28251,11790,14774,17864,12545
5645,11569,23327,14784,16967,21491,15771
3105,7140,28235,19320,16760,24089,23488
8703,5728,27845,21558,15675,17263,20964
10250,4205,32048,10291,16740,26135,17583
11037,8757,26042,13919,18081,22626,18464
354,2252,26883,15639,18567,15405,20481
3948,6521,25666,13138,15487,21873,16255
8075,4886,27071,13333,17639,23532,20735
11406,9153,27392,7937,19664,23854,21739
5700,5642,28827,12364,19002,20226,23845
1705,9420,27007,10134,15095,15120,15332
4545,9721,24112,18854,17037,23337,30610
2554,3777,27848,13257,17488,22376,26042
6644,9790,26476,10962,15973,21803,22346
6712,6949,26993,11046,17741,23886,23208
9823,6369,27124,11514,18270,21402,18403
6736,2471,31440,12537,12878,21005,25152
9327,7819,28318,12277,18555,16087,17661
7771,9902,26466,14164,13358,24181,23476
8639,5043,31898,16942,17800,25155,10440
