Human Resources and Employee Management, Salary of Employees in Different Cities, USD, t
Yorkton,Fairmont,Oakridge,Mapleton,Highvale,Northgate,Creston
26592,53463,63638,45601,43655,56140,49700
72964,69167,54488,33771,40926,84485,53639
41480,55407,53436,44063,64990,46628,62595
79678,48327,60175,61455,48643,57256,70308
52925,54435,23573,34641,62913,42442,37516
35195,53384,49033,49932,67511,5412,66341
44249,62949,46648,26267,67827,48421,58738
52754,33380,56690,35797,66077,73570,51891
38360,84068,61593,30205,64080,40803,34403
52586,68756,59413,55615,84167,62505,32528
42053,61578,31163,33203,50217,57541,49856
41979,61725,67338,46667,64574,36632,40166
52536,64810,50466,32413,57168,64922,34510
45368,47648,47770,30940,71382,58518,65275
54451,64691,56477,34755,53270,66731,44605
38123,47194,45783,52882,39759,70876,56045
71806,52846,66655,38141,77002,45008,56286
54450,47547,54282,47200,56420,49986,38983
29681,62880,61154,42891,65808,51697,41630
53272,52432,57532,48674,49963,37993,57214
39090,61585,54947,9753,54010,28891,38729
60855,68343,54013,37042,60205,63795,49279
46019,70182,55952,47971,71476,47557,55569
22747,56125,64648,35261,50128,67276,42074
47066,61038,51576,42561,46590,44152,61170
35846,47173,54326,59811,65348,66348,57124
54296,53073,56545,60047,78390,47916,45125
56741,70400,66066,36206,70101,41321,46687
49899,58507,33041,40984,40123,38251,54923
66106,61100,62219,46778,26939,71993,40436
49534,65157,65760,55188,55697,51490,54544
40800,60606,51312,42000,66530,81350,23950
45655,51043,59279,29035,57031,48093,57605
50808,53237,57888,54451,71183,55942,41502
35318,57713,64257,32985,68115,58998,60995
47164,59510,56750,43727,58951,54375,37476
27950,67023,56533,56065,71357,50980,47317
31345,57200,73546,33886,66341,53699,44537
33508,45204,62506,40199,77976,57302,56783
56948,78065,75740,43722,57745,42192,48024
36392,53095,37293,22693,67432,49354,45155
45338,46502,62963,46179,86039,59453,47468
42025,53698,55919,45264,75280,38319,76095
53600,57745,44079,44217,78665,56966,31626
42882,52125,35276,40433,71622,41506,34420
60271,78314,48615,41342,77476,61275,42606
27662,54755,57989,29655,57893,65743,58130
37368,34064,58165,40241,69744,54058,48431
46078,56198,50771,40115,74787,55963,41010
37150,47274,47876,66149,65205,25910,53183
53704,79814,74100,43967,57586,45687,67475
29420,50321,72632,53235,78635,77252,34419
41523,72995,70199,27758,66112,33579,6051
39127,53904,58859,38089,49832,73763,66506
19028,65727,50837,44286,56327,44207,50327
52076,40929,45162,43757,41447,64036,74196
51566,53287,51195,45263,57085,70654,35663
45600,76066,52618,47746,63261,53510,68121
46839,65079,78638,44397,49343,45991,38689
30976,67642,75782,43804,65015,35899,49758
62886,60641,57822,41136,50691,50574,58012
50900,67129,59392,39338,42034,35011,46090
52521,53198,49300,30897,42897,48996,63335
34065,79764,55310,66581,68409,50819,62365
36611,55444,54879,51911,59658,36492,25868
25908,53643,72692,46406,58958,76796,52014
42682,60997,85581,47357,75256,58852,25216
58431,52367,56614,37864,85154,50305,49017
56211,42118,58468,56183,47866,40699,52172
43061,60593,64252,24108,36703,57635,62689
44004,49087,48230,34262,46209,69113,49072
71636,48333,54817,43626,52048,49575,59453
35351,60482,37832,39413,88336,62039,53894
56576,43411,59157,36654,71902,40257,51448
52549,68054,66456,45525,57171,43620,69005
49921,61858,56253,54618,59228,54462,38554
51266,51481,54549,36435,68840,37542,53970
40316,37399,64053,42976,48340,29115,39959
64656,54672,64608,46462,53788,58675,35911
39801,54754,24991,50114,57372,11246,78438
26536,55547,50801,66367,62502,59807,65328
55431,52902,46260,36078,44861,66993,23371
43971,52654,41016,24227,52933,42746,66571
48249,41947,53459,48124,66799,44018,47879
31346,58270,64438,50231,71847,75453,69734
53150,66069,79924,32061,76822,34358,76529
50716,67155,46986,29970,36753,19257,70233
51443,57374,52496,37586,54450,64562,20558
58339,50621,54833,30568,74376,47179,60455
35802,54650,54372,46840,28906,51465,48403
50458,50050,58734,29182,78142,57856,68635
49311,48636,58683,49216,83549,51030,42736
40981,63211,87893,45723,46670,49148,48633
62408,60674,85221,33008,57113,37351,51747
9871,46065,42851,39374,44875,48436,19602
59928,57671,75149,31168,78252,50365,42586
46283,51676,56370,46491,72366,71315,51100
64868,67095,38490,57831,58300,66445,40098
46824,57786,59138,55019,54447,79268,44716
32962,60812,51174,23334,50116,39711,50771
27127,45107,56402,41794,56047,46123,71322
57560,62123,38580,34052,32380,50728,59677
65983,79114,53078,44508,81025,42016,63639
54141,64793,82508,51355,63707,31392,61895
53459,62999,72419,58937,68543,54851,46431
70904,66718,69808,37575,72245,48259,42900
45430,66280,66851,37315,59771,23712,58776
48533,73534,59005,42828,63063,80291,51918
40016,57378,39333,45457,58503,59352,42031
47306,57665,56881,54148,73972,47769,45442
78649,45090,58287,34826,33536,42619,60891
37837,75661,61936,38036,59403,60484,46387
32454,62150,41970,43598,67823,54341,54344
40410,43850,55936,56615,67583,37999,66936
24595,47705,56046,44534,65672,80433,77038
63012,61854,54923,37810,59255,40356,64024
41701,45824,31106,28592,55336,25464,47325
