Energy and Utilities, Data on daily energy consumption accross cities, MWh, normal
Springfield,Elmhurst
1919,5718
2135,5458
2020,5467
1787,4581
1920,5466
2297,5216
2050,5296
2723,5176
2584,5559
2660,4928
2311,4751
2392,4834
2697,5328
1794,5446
2247,4527
1499,5291
2390,4816
2566,5184
2504,5470
2830,4696
2016,5104
2350,4984
1684,5582
2081,5728
2748,4350
2020,5681
1662,5332
1086,5015
2153,4969
1694,4873
1898,4603
2325,4494
1455,5170
2360,5525
1975,5263
2464,4271
1929,4846
2284,4863
2620,5740
1972,4206
2360,5386
1928,5195
1903,5124
2211,5032
2599,5193
1864,4597
1801,4584
1819,4722
1712,5426
1725,5458
2023,5132
1705,5454
2235,4825
1627,5313
2230,6372
1299,5706
1858,5278
2614,5083
2475,4975
1717,5218
2355,5100
1834,5266
2355,5491
2292,4734
2366,5676
1851,4769
2183,5519
2576,5602
2233,5225
2071,4751
2256,4778
2658,6099
1550,5178
2475,5112
2312,5472
2687,5390
1853,5478
2496,5519
1632,5534
1939,5161
1905,4963
1809,5452
1671,4432
2067,4887
1973,5890
1668,5343
2153,4784
1964,5847
1821,4764
2616,4868
2289,5020
2086,5111
1685,4252
2190,4651
2326,5411
1912,5752
2526,5110
1570,5159
1648,4657
2248,5754
1100,5235
2579,5557
2418,4787
2183,5154
2441,5533
2348,5560
2481,5572
2262,5786
1446,5810
2510,4832
2429,4745
1970,5161
1965,5863
2165,5341
1984,5090
2639,5471
1953,6094
1767,4826
