Cultural Trends and Influences, Number of people participating in cultural activities across regions, number, skewed
Northgate,Fairmont,Mapleton,Ashford,Brookfield
1865,568,1051,1005,952
1129,811,586,1257,745
1195,1180,602,1132,946
1339,605,495,948,990
807,795,520,1095,1273
796,1005,805,1100,998
2422,716,858,1005,1333
1760,723,566,1227,1020
1760,472,656,1237,903
1657,1278,929,1002,741
1420,1319,614,1211,1091
1265,637,748,1016,880
2218,581,600,953,952
1673,1297,555,1207,701
1070,906,515,976,665
887,1841,493,1286,695
1153,971,725,1046,1079
1057,357,547,1638,666
2432,879,815,1025,1008
1093,1194,962,1095,602
1623,1207,488,1159,1056
1749,412,521,1341,760
1409,874,710,1165,972
2247,718,485,1112,1238
826,921,627,1176,607
1158,578,716,1113,619
1015,526,623,1006,1107
1586,899,934,1067,1007
1698,670,807,1108,728
2552,426,510,1115,1529
1068,696,674,1140,1554
1186,519,527,1036,766
1232,415,486,1034,811
1654,504,1080,968,546
1386,1616,892,1133,711
2741,920,819,1334,565
1026,873,825,1017,1054
1365,331,496,1414,1054
1638,330,522,1222,749
1189,754,547,1288,933
1604,1823,554,1779,624
1513,1482,635,1159,528
2743,650,1096,1297,1316
1738,666,558,1417,725
2702,1249,516,1244,986
800,941,1257,1071,1018
1619,802,735,1119,1054
880,640,517,1002,923
1065,993,761,1268,818
2154,1128,906,1102,1044
1832,564,795,1383,1207
2334,1224,632,1626,836
1854,582,794,1107,748
1390,799,518,1057,1075
1143,1429,551,1043,802
1297,1351,507,1262,991
2732,582,439,1058,1041
1822,1386,504,1099,491
1691,465,549,1105,595
1182,578,667,1172,676
1168,980,504,1232,781
2431,604,551,1229,635
813,481,625,975,1094
1927,510,1041,1054,612
1437,991,546,1522,595
1147,1066,1083,991,861
1880,1228,780,1449,884
1092,463,814,1651,741
1369,646,493,1156,868
1156,1056,527,1293,1161
1295,959,440,959,1082
2007,668,506,947,781
1082,820,626,1306,727
1690,508,516,965,1557
2770,1352,614,1053,1083
2525,378,684,1175,901
2769,584,1170,1775,1234
1242,475,772,1273,745
1531,1213,428,1072,1218
1017,416,613,992,993
1994,568,760,1519,952
1066,612,423,1682,1195
2459,1901,774,1225,1106
1272,841,686,1090,1204
1837,529,425,1004,831
751,413,497,1253,937
1291,700,415,1356,505
3419,1713,755,1084,581
1238,417,688,1516,1289
1057,953,497,1183,879
1903,557,472,1253,998
2742,1234,662,1235,884
1992,988,592,1043,820
1694,933,627,1130,1013
2147,1012,538,988,1211
2626,1433,1009,1055,1045
781,841,683,1267,668
1196,571,519,1125,822
1301,865,596,1098,1199
725,638,854,1053,870
3051,1169,976,1165,1248
1757,524,460,1063,879
1506,532,649,1102,1523
1176,464,491,1150,898
1155,602,416,1078,673
1265,1030,596,1015,809
815,633,621,1215,1140
1776,1084,440,1054,772
2141,369,755,1364,736
2489,614,627,975,630
1640,1226,655,1179,960
1092,587,776,1202,986
962,1534,622,1311,877
1823,1577,692,1335,947
1529,784,621,1240,936
1009,1833,446,1164,740
1027,486,536,1310,1272
2824,1503,570,1235,1224
