Energy and Utilities, Data on daily energy consumption accross cities, MWh, normal
Mapleton,Westport,Dunvale,Glenhaven,Ashford,Fairmont
3491,2536,3568,5273,2775,5152
4754,2734,3272,5047,2518,5781
4477,3023,2897,4564,2943,5738
4800,2464,3022,4936,3327,5645
4581,2342,3392,4672,3053,5099
4381,2591,3485,5016,2508,4876
4842,2701,3322,5249,2221,5866
4583,2935,3666,4582,2371,5836
4189,2659,2899,5789,3000,5390
4093,2595,3432,5650,3023,5870
4228,2275,2047,4009,2775,5304
4724,2780,3355,5527,2251,5826
4759,2188,4007,5072,2731,5382
4629,2509,3554,4353,3141,4801
4744,2413,3133,4690,2563,5408
4362,2664,3220,4423,1912,6171
4379,2342,3861,4454,3226,5659
4536,2656,3672,4998,3271,6340
4280,2824,3092,4138,2984,5368
4630,2551,3584,4450,2227,5713
4549,2880,3302,5165,2701,5356
5199,2821,3271,5070,2759,5358
4441,2861,2632,4622,3271,5314
4104,3075,3006,5606,2606,5952
5226,2759,3950,4050,2832,5567
4969,2685,3411,5635,2378,5468
5166,2553,3926,5790,2226,5269
4555,2683,3709,5106,2367,5396
4809,2749,3948,4394,2979,5568
4530,2674,2926,4896,3043,5728
4674,2778,3332,5437,3024,5429
4305,2670,3133,5191,2800,5713
4991,2675,3027,5367,2706,5877
4624,2539,3868,4329,3288,5699
4355,2723,4055,5269,2517,5610
4686,2697,3780,4589,3051,5489
5149,2546,3539,5658,2967,5708
4570,2399,3721,4348,2793,5883
4353,2798,3615,5123,2825,5834
4436,2601,3732,4855,2874,5530
5117,2683,3391,4676,2825,5872
4950,2728,4104,5309,2769,5176
4499,2549,3395,5513,2736,5425
4629,2327,3567,4722,2381,5627
4450,2771,3754,5558,2690,5712
4766,2422,3402,5672,2952,5285
5052,3116,4093,4156,2192,5211
5125,2651,3747,5407,3246,6056
4834,2869,3887,5315,3279,5941
4379,2522,3945,5024,2489,5902
4606,2864,3491,4641,3284,5254
4686,2672,3231,5843,3083,6107
5114,2804,3953,4419,2504,6150
4997,2562,3666,4621,2817,5799
4977,2846,3447,4175,2665,5302
4310,2839,3865,5051,2140,6021
4410,2830,3928,5488,2741,5828
4654,2409,3852,5061,2845,5292
4622,2928,3623,5113,2071,5367
4705,2781,3388,4035,2588,5543
4895,2789,3856,5436,2674,5935
4935,2792,4106,5198,3385,5932
4318,2640,2812,4666,2985,6353
4609,2845,3011,5128,3496,5625
4622,2847,3535,4754,2880,5657
5175,2219,3907,5750,2755,5478
4297,2563,3854,5669,2359,6341
4262,2544,2828,5446,3144,5795
4949,2425,3843,5330,2838,5335
4788,2816,3272,4055,2393,5816
4639,2807,3737,5223,2649,5190
4899,2752,3921,4612,3022,6136
4639,2459,3503,4462,2642,5524
4344,2566,3710,5409,2506,5757
4615,2588,3560,4863,2359,5371
4694,2542,3406,4453,2592,5287
4527,2736,3757,5133,3056,5750
4746,2829,3569,4856,2577,5749
4954,2653,3000,4901,2892,5708
5108,2479,3720,5304,2362,5060
4488,2983,3014,3958,2542,5328
5111,2339,3360,4998,1978,6068
4963,2600,3853,5672,2362,5531
4866,2644,3441,4405,2794,5512
5036,2782,3458,5280,3167,5688
4916,2978,4010,5238,2903,5814
4533,2851,3796,5056,3384,5371
4681,2732,3621,4330,3056,5175
4550,2757,3692,4971,2306,6248
5098,2403,3364,5730,2358,6026
4846,2899,2698,5097,3122,6476
4668,2758,3912,4533,2760,5365
4704,2849,3773,5320,2048,5741
4481,2760,3267,4833,2924,4909
4740,3100,3134,5722,2265,6023
4722,2577,3836,5072,2627,4829
4478,2941,3539,5157,2768,5085
4576,2470,3364,5587,3555,5228
4694,2720,3553,5154,2185,5372
5093,2752,3567,5222,3027,5651
4137,2529,3918,5153,2997,5770
4900,2874,3801,4895,3120,5316
4926,2897,2896,3980,2999,5723
4869,2111,3011,5561,2948,5197
5004,2750,3074,5883,2698,5878
5092,2442,3963,4104,2782,5213
4752,2612,3820,5115,2903,5294
4716,2632,2940,4498,2642,5831
5011,2595,3645,5431,2595,5321
4517,2548,2790,5468,2290,5650
4823,2349,4331,4673,2585,5147
4854,2683,3389,4633,2756,5939
5129,2413,2726,4318,3524,5630
5163,2218,3641,4630,2102,5294
4826,2857,3866,4645,1526,5876
4645,2511,3516,5821,2788,6153
4653,2930,3598,4541,2967,5228
5120,2917,3007,4028,2698,5515
