Cultural Trends and Influences, Number of people participating in cultural activities across regions, number, skewed
Glenhaven,Oakridge,Zephyr,Elmhurst,Northgate
652,961,843,1312,770
907,1337,968,1041,785
457,962,1283,1211,1183
472,1084,877,1182,753
397,1236,1063,1163,955
438,1031,1315,1545,1291
386,1613,1202,1248,748
336,1194,1125,1147,765
351,1183,1300,1027,1003
414,1061,1359,1190,1356
246,1098,1052,1683,1158
535,1852,1303,1181,939
445,1148,1069,1091,802
577,1666,1291,1224,978
552,1245,1455,1217,1077
324,840,2017,1256,864
698,910,1038,1118,1022
613,962,1678,1321,958
592,1078,914,1063,755
437,1396,1051,1520,746
1215,1026,955,1088,961
186,1106,986,1304,947
431,1019,1202,1691,1023
418,1021,965,1069,751
224,1137,1416,1120,757
1421,1100,1387,1792,832
660,1332,1282,1084,743
555,1519,863,1602,1043
687,1919,1089,1364,1038
283,1556,876,1095,741
568,1173,890,1172,929
545,932,1130,1128,1052
609,1076,1725,1333,765
413,1155,1711,1451,792
816,1007,1194,1607,1265
837,949,1211,1181,1209
406,1276,1148,1324,865
453,959,1176,1026,894
681,1439,1016,1188,910
989,1295,1026,1350,1217
217,838,1296,1930,906
351,1057,1135,1159,724
315,871,1102,1747,704
437,1685,1366,1763,1216
639,1169,836,1233,808
855,1326,917,1019,753
250,1248,937,1326,1270
419,1405,1119,1272,1037
196,726,1120,1287,1098
405,1862,1283,1480,1090
382,1045,1167,1518,1235
1036,1157,936,1156,796
400,848,1522,1072,782
163,803,1766,1314,792
287,1069,1950,1527,940
266,802,1680,1063,1000
771,981,874,1716,898
328,1013,1258,1440,1008
335,918,1588,1167,1257
575,1389,1628,1169,1085
1079,932,1188,1092,1139
664,1041,1237,1611,872
974,1258,1143,1386,755
658,1146,977,1226,984
937,1194,1228,1738,891
477,1170,987,1682,1222
313,1017,948,1115,891
224,954,1263,1297,778
1144,1626,938,1083,770
546,874,1165,1673,1020
537,1468,1253,1481,823
463,1185,1368,1397,984
361,1080,1156,1027,817
647,900,1392,1007,772
369,1134,1189,1409,851
525,1202,855,1333,721
337,1279,1341,1226,787
892,1382,1220,1345,1095
300,977,909,1384,878
394,816,1361,939,1141
668,990,994,964,998
351,973,1436,1681,845
418,925,1553,1091,1012
254,876,1001,1184,778
419,1445,1073,1211,763
305,1759,891,1324,823
495,971,1098,1182,932
1065,1112,1611,1196,1173
221,1029,1188,1511,1032
267,1161,926,1340,1080
649,874,949,1501,806
1178,1130,896,1620,742
568,1643,1368,1278,864
201,1462,1976,1007,1057
490,1095,1254,1330,771
696,847,881,1290,889
644,1408,1704,963,798
467,881,1108,1462,792
515,845,1441,1137,799
775,1043,1012,1223,861
494,1155,1077,1111,859
354,1227,1044,1274,782
192,1099,1079,1088,824
183,1410,991,1125,896
681,1127,974,1093,1066
632,1115,942,1241,855
819,1353,1057,1533,761
289,1099,1184,981,1146
219,1019,1439,1692,934
468,1247,1588,1252,990
367,1163,1259,1458,986
649,1016,966,1162,1049
827,1156,1251,1445,821
133,838,1030,1260,999
1166,816,870,1209,980
531,1276,1151,1109,786
727,1155,1049,1097,916
258,1188,1254,1020,743
