Science and Engineering, Research and Development Investment by Country, million USD, skewed
Glenhaven,Westport,Oakridge
460,560,497
743,697,297
799,444,513
802,847,562
325,393,777
600,273,300
617,435,539
480,824,472
284,1562,1093
963,1183,837
137,394,1424
1045,1127,371
852,530,756
195,705,1398
428,254,537
364,928,780
359,459,803
702,266,629
784,190,500
501,867,724
664,453,436
492,757,1015
847,679,342
825,1274,536
819,345,484
834,1363,708
729,598,292
768,793,306
684,438,710
214,861,323
309,526,484
531,528,939
1122,792,428
864,307,591
832,621,339
284,537,552
1219,851,421
569,559,995
876,610,766
313,370,477
355,530,309
159,371,193
357,620,408
254,542,924
534,278,491
167,1311,855
806,600,303
157,390,870
173,873,168
1252,583,403
869,1420,682
315,928,1078
349,819,1168
1132,1178,426
127,714,662
163,707,747
415,609,279
833,354,396
508,311,307
304,1315,776
360,216,456
641,292,507
547,748,1072
755,906,926
668,1177,879
369,664,371
530,406,1304
426,599,291
1249,741,328
749,378,1452
326,594,763
522,672,771
1020,307,416
1311,544,312
617,629,415
306,870,716
1117,591,655
271,1681,804
264,802,858
574,683,1182
460,836,545
524,1321,1012
287,386,524
577,272,243
963,317,773
1128,787,410
703,449,477
676,1186,1260
751,428,488
438,649,258
521,276,788
1232,320,766
452,861,577
244,967,158
443,445,444
239,290,857
356,609,533
465,1249,1084
889,332,1245
742,439,1015
506,743,440
981,1543,475
612,790,877
595,617,519
585,140,825
1289,314,386
915,540,501
436,783,530
443,484,438
186,289,353
190,736,272
196,637,873
420,536,1265
381,618,974
320,381,826
594,424,732
449,311,1114
353,707,1094
