Human Resources and Employee Management, Salary of Employees in Different Cities, USD, normal
Ironwood,Oakridge,Rosewood,Ashford,Creston,Lakeview
47286,9471,45889,49117,20043,44320
41724,41353,49646,41374,55671,40992
40238,31723,59307,58950,58250,57133
24030,48900,64204,36403,70721,45684
43518,54295,58515,52944,68654,44988
46858,34800,48368,51189,63092,57936
45530,11611,63829,48289,43134,40558
31583,11763,54797,49462,53593,43889
43595,37771,58527,49902,65040,49683
29166,34799,55711,26157,56246,33046
49727,52637,53945,47479,61258,42522
38816,39561,44575,35202,59457,32430
37404,36140,61632,53471,66088,38065
53198,21426,52415,60211,45906,27840
36964,52506,67636,40786,43997,35918
28411,28164,74677,64343,49661,45861
40657,19406,63714,55960,34213,59711
43626,28451,31967,54490,57930,40975
48128,56165,52883,49842,58906,43255
46862,25883,47482,47130,51496,54521
42690,30025,41760,44381,65876,48154
51610,31945,51941,42665,71034,23183
42542,51100,53286,29523,46562,43049
43173,30579,65898,51278,37101,34075
46850,32106,51792,35898,36030,46240
32865,33186,66397,50294,61675,23533
45625,31836,54384,43238,42880,44364
37505,29545,74726,28344,55428,27505
39660,45288,56841,59837,53150,61031
52762,10757,52384,67478,67539,18334
34380,38108,63344,52507,47189,43686
36854,48974,50060,50406,54539,43297
45917,25244,31123,45332,49239,56121
37889,41773,61663,66250,67772,54701
46566,55631,45625,38260,45842,38216
48480,28468,71049,49876,68098,44620
42356,45875,54174,35933,60718,42519
43788,44626,59442,39926,62608,48929
47205,50107,59266,36945,50703,50705
46279,25368,54764,53489,50533,57033
51471,32610,64654,52965,41634,49638
48458,36303,45922,51463,57539,48674
41670,43123,53991,51823,80899,43430
34351,54272,58708,46257,64476,59818
41572,55134,65441,38103,62059,41379
48097,23101,51586,52061,42880,57052
41152,36320,59209,57319,49997,38887
38861,50275,56525,50024,67366,46221
40070,31289,49636,42257,71970,52324
41973,32057,67388,41926,53325,57670
46913,19021,55475,54185,41197,39806
42291,52067,67937,60618,51122,43300
47096,28096,57673,42654,38768,46033
40965,40772,46734,48699,49832,47401
44186,18723,64508,53173,40751,35503
46074,48730,52392,55266,57658,32312
51122,27825,58559,46149,59359,40393
40253,27651,55597,59270,39494,41066
37299,61093,46762,50814,36080,43376
43854,32352,61530,50900,68009,35801
36667,50473,50790,48432,55804,23361
44250,38401,49295,42645,55381,71040
39674,12174,48111,53638,43332,50760
47470,23566,61535,55123,73273,46400
46345,42604,68550,24109,30726,59878
33300,30309,60886,36597,40374,47373
37905,29034,58919,57790,56757,43743
41729,43655,59543,53806,78996,37544
49850,47662,64477,37707,39394,55549
41185,45457,43735,63481,51772,37374
44755,43668,69975,52449,73958,41044
43977,43229,58936,45953,54200,44217
51275,29045,45672,48768,55789,52451
46590,40969,58019,45627,73685,41019
45970,26291,58211,51007,59261,41944
35002,51598,44557,54473,52029,44514
49939,54617,49960,60114,54986,48190
50527,56579,68305,55796,28146,21339
36746,22563,51504,58180,43935,39898
38315,38584,60171,39921,48410,41347
45359,44692,37593,35910,34300,61819
44195,36826,50483,32792,49191,25788
49968,51509,34489,43847,60590,66700
29958,52150,47227,36148,53574,23749
48231,55995,37695,46750,42222,48889
47860,59335,66575,23869,48283,64191
34607,39167,73722,39166,56670,30460
45072,39293,37630,57327,67896,49623
45116,52934,62036,35656,74636,44884
34603,33455,53532,55664,47357,42176
41949,33385,61656,52295,68917,38039
33761,28911,51485,43364,53113,41317
48697,48107,53476,40614,56147,54478
36288,44071,51594,44635,64972,44653
43549,53565,53161,50739,58075,39722
42235,28065,47149,41183,54309,49068
27564,26308,70051,44293,26849,45179
34122,40775,46963,53097,50017,21416
32456,20067,61166,27295,38459,36153
49608,46983,69048,66011,65659,26749
45392,54669,48084,36619,49448,36956
41499,50559,60432,54417,43450,47762
43784,45150,65843,44478,49698,41015
48016,45703,66342,44213,57288,59926
39939,22077,56649,51655,58517,66077
32116,34712,62487,52991,59078,42912
50111,37762,48287,33540,60994,51082
47173,46439,70140,60360,34470,35164
35441,35381,50941,49058,58973,32899
49920,29672,43262,15857,51094,36593
52889,47092,62616,37416,65728,37694
41151,32888,46491,31841,53417,41205
49498,41105,49386,50940,37778,38900
27817,20557,43031,26330,27673,49415
35384,39758,59850,34614,60160,55816
36567,39614,56478,48572,75443,58709
37375,53383,72322,22245,62101,47319
42469,16276,56818,44979,42681,47321
