Science and Engineering, Research and Development Investment by Country, million USD, skewed
Quarryville,Highvale,Pinehaven,Rosewood,Lakeview,Yorkton
1023,368,899,578,551,1185
554,767,361,776,703,364
644,292,376,319,1162,549
403,870,889,389,357,335
604,808,403,515,853,895
1303,447,777,652,235,595
390,439,798,429,341,906
664,184,517,370,371,222
403,728,214,536,688,359
517,644,330,573,590,550
674,770,637,1125,600,1011
412,250,600,633,529,1311
502,1051,349,1317,472,1107
427,724,158,652,427,1095
1320,510,568,1039,904,150
469,410,1077,1103,332,429
534,184,488,563,1041,330
506,380,568,1228,288,1364
609,412,254,826,405,407
217,531,1388,729,650,513
547,308,425,901,370,1538
819,1099,1048,669,412,315
800,1009,838,741,1131,340
252,565,325,853,412,390
300,400,508,540,477,496
994,294,170,561,561,521
621,850,1037,1160,670,393
310,428,486,467,936,882
374,379,350,843,1146,1016
430,229,1091,953,287,426
764,700,297,753,726,504
332,1186,839,586,390,1067
567,219,841,583,1359,613
231,521,530,294,597,478
544,165,539,511,411,1317
243,543,322,499,489,530
900,398,612,724,721,984
270,293,250,447,995,749
530,343,436,945,957,266
700,268,789,1694,522,341
564,460,245,664,521,632
845,435,500,434,828,188
356,877,298,719,602,891
1092,349,225,694,888,818
1271,519,458,559,846,508
547,435,1363,509,1138,1010
849,607,610,353,694,596
449,373,487,972,539,807
480,335,352,1175,544,934
375,1051,192,691,306,987
584,627,612,724,481,565
815,1546,191,992,1046,712
398,727,566,776,701,296
868,318,413,480,368,277
329,397,322,796,922,663
333,756,511,1281,685,989
791,1101,427,838,782,1354
711,481,742,356,448,584
324,388,321,1065,511,1439
450,483,1101,561,157,566
460,508,440,790,551,584
234,1124,260,898,252,824
488,560,717,516,561,1132
532,529,502,382,684,617
399,336,492,340,508,984
578,561,346,506,1537,423
423,330,419,1024,148,625
349,957,406,620,961,322
147,640,295,948,545,1045
200,460,521,1070,290,1150
367,785,393,675,927,412
827,459,571,784,768,854
624,880,611,600,572,431
493,455,513,222,556,745
262,191,352,312,403,651
344,717,373,1262,1039,453
639,430,244,637,399,694
557,168,614,791,282,1138
566,516,1038,349,345,474
409,389,352,560,144,1010
581,900,293,828,950,822
345,469,516,497,1635,330
487,397,250,878,542,700
408,271,1210,381,782,551
527,713,727,1701,286,627
667,263,507,509,216,733
328,920,336,228,416,491
720,481,179,443,616,1397
383,692,390,409,175,403
797,503,276,269,1236,298
544,302,416,709,409,552
1014,543,290,382,409,566
513,396,1275,459,1240,554
196,832,498,212,589,377
325,488,456,789,411,522
276,181,508,448,858,844
348,427,648,1355,1352,1349
860,990,297,210,581,459
171,731,245,1226,781,910
600,491,1595,672,533,374
348,446,502,676,544,1068
298,549,474,910,801,911
267,366,616,900,812,738
496,787,320,630,549,990
468,836,329,683,798,836
467,344,389,901,513,391
740,1339,365,1593,445,798
434,550,223,708,511,381
965,523,331,405,318,1079
627,821,265,456,377,538
354,782,563,941,881,717
865,467,1365,915,331,438
970,273,357,448,275,770
288,284,525,1890,932,328
674,1395,764,473,1306,355
414,503,709,319,502,812
173,1174,324,567,625,337
1050,183,955,815,792,729
