Agriculture and Food Production, Crop production data for a particular region, kilograms per hectare, skewed
Cotton,Oats,Rubber,Barley,Jute
4549,5564,5062,10041,7549
7232,7420,4311,5478,7156
9606,4178,7707,13014,5518
3482,7854,9853,8215,7084
4496,6852,4531,6421,6309
3828,4471,6188,6834,9938
1483,4907,4553,4923,6368
4611,4954,11241,5728,6708
3004,6567,5744,5051,3803
7444,4261,3344,3788,11515
8061,8770,3571,12506,7680
5561,10473,10839,7025,5605
5508,4155,9188,7557,7871
2905,3993,7726,6328,8793
2658,5230,6046,8104,4325
1697,4732,6244,3881,4724
2990,8939,5221,4916,5059
6352,3882,7445,2761,5279
3612,3602,7483,9886,7291
4570,3769,10978,2739,7535
3307,6382,5135,9703,7878
5795,4121,11825,3634,8882
5587,8299,6056,4749,8772
5483,4547,5445,5860,8243
10994,7082,11243,10692,10751
7357,7277,10054,8055,4059
4867,4971,8596,12398,4104
3520,11384,3834,4744,3514
6005,6777,2603,5785,5246
2599,6357,5972,5828,5398
2668,7495,3151,4471,4470
3960,6356,3312,4697,7062
6392,7357,3958,6856,5439
2863,3578,3290,5695,7925
5633,5394,4338,7719,6402
5097,11891,10139,2964,9020
4553,4008,9082,5634,4928
7278,4877,11949,2289,3558
3093,5691,5430,5449,6182
4798,3814,4210,7634,6743
1919,11674,6945,7961,7035
8301,11205,5542,10935,5500
2128,3071,5144,10887,4887
6387,4792,10071,7871,5124
5513,9622,3951,9403,7994
9342,10872,8533,7361,6570
1929,7972,4595,5040,7434
5790,5451,5273,13567,5226
4655,12211,4888,6690,3298
11564,13296,7821,11690,5366
6261,3293,4376,8110,3272
4073,7217,3801,3225,6025
4228,2735,4779,7078,4392
5631,4459,8295,4462,8070
2806,3745,5911,4240,5546
4733,5240,4758,5045,6731
7317,7250,7730,7155,6484
7772,5324,5421,2969,5662
4520,4761,9263,7086,10771
3131,5824,9552,4051,6126
2018,7509,3866,8689,6463
2780,7160,4558,4892,11883
4586,5032,4479,7160,3576
4800,6451,8223,3341,6082
5635,9288,5850,8833,5979
1947,4124,3745,10614,12517
6448,7499,3031,4002,3407
5241,2793,9628,7706,7541
4309,6497,3151,6445,4118
3160,3190,10121,4236,12842
6927,4575,11473,8262,5399
5967,4279,8617,3216,8390
3113,4366,4364,8769,7134
3684,8516,5399,3862,10596
4544,3901,4858,5108,5684
8237,5706,5803,3603,3425
15881,6643,3661,10468,3428
5323,5392,4840,11769,7950
4185,5646,6555,4755,4953
3486,10588,3066,4340,3961
6247,13101,7365,9930,6522
4508,7054,5438,2655,8169
5349,3260,4403,4812,4042
5017,2658,4310,8179,6294
4831,7485,4705,5716,8773
4746,3578,4262,5342,4373
6271,4663,5528,3821,7715
17439,4521,3579,8290,7811
11074,12170,9706,3233,8010
5294,3172,3815,4120,8556
14103,5052,7715,2927,3998
4819,6511,6558,8000,5228
4052,4046,5134,8030,8916
3605,4381,4393,3462,10869
4125,9787,11969,5374,5755
10277,6962,3460,5084,6916
5273,5364,5778,7027,5562
9795,2530,5729,4108,6784
4800,5736,7900,11592,3669
7005,6027,8176,8896,9137
3176,10595,6580,5871,5029
4494,14433,6167,6604,5884
17557,5108,3957,11546,11455
5511,3694,4658,5679,4528
10399,7192,6242,3349,5235
4150,4022,11375,5453,8313
2714,5333,7793,3492,11681
3082,2747,7652,3821,4058
9494,3151,6955,4506,4693
2198,7606,10393,6828,5779
7778,16446,4700,5932,6083
4789,13922,7853,12992,3455
7005,7957,5228,5224,7680
7564,4678,4945,6424,8455
6217,12229,4874,3744,7879
7088,6130,8676,6233,10896
10619,5835,3889,6818,6841
2850,3738,3559,4228,4369
