Business and Finance, Data on the monthly revenue of different companies, USD, skewed
SmartHub,SkyBound,BrightEdge,BrightWave,BluePeak,PureSync,DataPulse
29190,52448,41819,33286,199478,18405,231199
48787,91396,108334,77828,106904,42390,55688
49378,52491,132244,87213,104789,49957,75688
30320,87841,45332,88889,41373,55257,91632
154675,37948,83632,79673,101741,99944,49992
72912,49933,66205,34827,71093,46567,92277
46774,85255,44497,118774,40387,116052,74344
39889,76532,75380,31049,66311,44071,59520
25232,58887,27918,131939,39569,61053,40642
22446,78590,73004,39246,40325,25539,27926
41177,124851,35695,69763,52792,40653,149941
43436,35014,89043,57595,26314,23893,66554
32445,27299,37620,93015,97356,34376,51082
56686,74069,69841,128593,28501,74086,92101
82770,51184,77560,68856,72944,63870,57737
140937,29746,26119,180002,29611,126993,36217
21303,47574,37422,79715,119242,30893,67676
49064,31082,24458,136490,47153,69848,65236
41614,29671,77044,68902,42756,68982,28708
67897,76580,71760,39642,29470,83392,35256
38108,81318,42973,109681,30968,126115,167678
43305,38898,35906,71750,98625,47549,45924
32124,25762,42470,72424,84721,73265,50730
37080,86467,35854,46945,143455,56733,100391
52418,35250,117472,102930,56874,54888,103068
62238,131211,149591,47664,44252,68102,57581
116577,68163,83286,80967,38973,58545,59650
72833,37946,75483,47415,44054,22668,106244
18722,79700,39228,144548,62082,56966,55960
67661,39335,71404,40683,58786,46796,38083
44469,78306,59839,35713,147685,78307,67692
37226,96124,82707,85540,59059,30056,78953
36982,107448,51740,67906,104861,63242,75399
41549,46329,51997,94544,52518,52126,32244
49222,69451,42852,89531,34692,43295,97477
99009,46221,30464,30244,47488,60773,42280
23208,98280,121530,47927,32607,50580,62302
49930,46173,143885,50240,71070,60777,112776
56871,40244,40927,77428,41739,59908,58820
26105,28794,57187,72041,37752,59453,182307
55751,42969,72674,96595,68937,26320,108007
93756,68652,24519,47197,69428,53744,94786
58060,43288,79561,80615,77185,61568,124847
42892,69378,66321,90240,52733,34724,97061
74872,45739,86207,72279,113831,104961,77971
25829,81179,37918,149285,73594,69726,115423
41472,33931,102521,76356,46201,64466,40948
35736,64137,81998,32909,35337,36150,161848
40915,33398,46598,32013,61618,52415,68329
37600,46869,25330,62709,47531,89138,152529
40244,92747,25076,87655,55510,72528,205074
45141,51482,63148,86703,43474,41939,139949
51197,92407,160812,41974,43333,45362,42532
56781,46301,71375,131147,54294,46649,36608
40851,32105,34759,32375,83126,45666,82160
58775,77603,81419,200424,70656,70211,82319
30431,64570,30741,37631,56711,27922,115557
79678,35742,222213,40150,31440,63577,40811
41869,58995,20503,41404,60461,81172,41347
60201,35613,63741,45886,79562,174490,47094
41955,53364,23894,86326,39269,55859,71768
55799,106540,137058,36440,67808,45825,42748
24310,120503,28930,51004,45451,20663,87444
19886,47396,76939,156867,222188,23409,122247
27505,72792,99385,52390,47591,94624,76926
86284,63545,53165,100150,28464,125543,65391
25982,25005,78628,78503,30743,68438,194334
39858,31681,83002,36372,59685,59447,76390
21136,60909,45608,79858,111551,125344,46095
38676,77890,20097,110156,72341,95718,41585
74035,94664,24087,61734,26003,22359,46785
32264,97128,101815,57232,28121,81507,124327
59495,57347,75004,46687,71855,57104,110846
24290,52687,96799,48587,42719,99216,34174
23098,32010,44251,37464,30783,71615,156546
63333,30709,74168,65100,92703,67413,53763
106972,77067,49648,43886,42742,62528,185564
61655,133421,122541,98583,53913,78947,70356
87916,69940,69675,67218,31973,23337,54921
139591,70081,62705,103598,92709,60447,61246
21604,37120,105459,46725,93289,54540,102217
37569,84864,24273,108746,27463,35591,123520
77155,48489,200003,138474,72235,23372,38658
33596,98577,38735,126348,72135,52048,73513
23511,64317,82328,47524,60843,83698,49508
41992,29361,58596,50128,65857,56803,47126
59825,29473,94383,62330,84943,59081,153323
27219,28714,79027,77410,55188,160567,153260
164907,141145,32685,173377,59459,48402,50584
36538,111785,112489,98759,38488,66339,40740
32527,50914,60788,54644,103263,41689,45636
35959,79182,75772,56248,29719,122810,47828
43884,58551,55687,74877,53232,71234,65251
59951,66363,113277,44189,58702,25918,353928
59072,52019,51518,169509,95857,60412,65333
54635,77795,67004,34696,69083,30468,51174
111234,68233,40961,108398,45342,176715,43082
19300,75214,181136,141364,46172,18997,44517
69639,79552,112459,56112,50167,44036,46760
102376,45620,38438,119596,46606,54599,133775
51355,43720,44874,123500,50580,39274,78443
107543,154703,98014,85170,101305,33606,107614
47196,43756,56909,102027,44848,65480,99429
63039,68006,32209,55240,132678,23265,155250
37721,71457,54264,78336,116378,67032,83334
83814,57421,21291,49664,76753,54161,105554
34744,39315,33343,30449,64107,90869,150704
31426,34513,71110,58183,64760,66808,64512
64600,37203,95708,40724,56963,56979,53416
59023,29437,138362,37860,32016,54771,77936
63168,65480,46710,83723,30453,70821,41573
58215,71007,33452,117241,27920,53198,83413
30256,23968,119985,48956,44152,33986,40182
34122,43727,77447,97899,58857,86299,56095
53203,40765,120849,111836,48693,43898,73954
40232,51496,94723,80521,69959,45834,97396
60097,109748,33593,107968,32917,47014,78473
44827,62547,47415,29708,99628,28470,91355
61131,73770,17633,123214,56434,44932,56667
39661,42834,52775,112463,35967,62651,191249
