Cultural Trends and Influences, Number of people participating in cultural activities across regions, number, normal
Elmhurst,Ashford,Dunvale,Zephyr,Pinehaven
1338,2160,933,1066,2374
1750,2457,768,1144,2163
1975,2298,936,749,1755
1307,2143,339,505,1714
872,1848,1468,658,2183
2516,1925,674,752,1230
1709,2542,413,1074,1686
2244,2206,1307,244,2317
1601,2599,773,703,2135
1558,1978,612,863,1835
1773,1495,757,806,2641
165,1200,882,661,1664
1491,1163,823,826,2011
775,1671,538,685,2367
495,1938,1323,674,1506
2141,1296,795,871,2672
1579,2580,1033,528,2242
1037,1981,1252,1106,1467
1503,2022,1153,1103,1840
2410,1702,903,1105,2251
1509,2609,873,560,1952
1545,2061,1209,856,2130
1362,2410,1203,1150,1315
1843,2412,1074,775,2511
559,2080,1416,476,2029
1227,2417,835,575,1118
2301,1507,1248,786,2298
250,2153,827,919,2120
1546,1957,937,916,2477
1272,1327,1240,1136,1489
1641,2582,1346,713,1798
2531,2317,401,819,1807
1484,1660,1273,1223,2594
2080,1802,853,807,2114
1360,2221,603,1045,1608
466,1711,1408,580,2014
1209,1691,1083,887,1608
353,1899,1157,712,2157
1114,2218,756,546,1606
2468,2512,1030,716,1873
2040,1807,1502,861,2196
551,1276,478,740,2008
1393,1604,972,1213,1485
854,2004,1501,896,1581
1724,2270,829,786,2144
2069,1806,1249,829,1473
884,1949,795,1116,1643
1862,1758,900,532,2095
1162,1990,1126,1033,2180
2196,2016,503,875,1556
2396,1567,783,787,1978
1105,2195,821,1010,2251
1589,1905,720,739,2066
1236,1870,418,583,1665
762,2196,1064,731,2184
1006,2116,1173,820,1827
1376,2002,1181,722,2180
1932,1817,717,913,1593
2158,1771,1223,952,2630
2643,1592,1004,826,1660
1313,2184,946,875,1865
868,2440,1223,719,1935
1247,1685,974,652,2324
1685,2122,1109,954,1935
1001,2125,1210,683,2095
416,2165,712,1067,1853
1195,2030,981,1020,2516
1319,1868,1038,725,1527
1991,2465,1163,764,2680
1135,2128,892,657,1772
1243,2559,622,925,1519
1026,1964,1204,1101,1935
1027,1731,904,667,2430
1726,1817,802,923,2010
2074,1980,887,671,2563
2204,1664,263,1130,775
1187,2685,1140,533,2230
1389,2069,1344,1122,2260
1484,1592,278,1086,1505
1603,2639,702,996,987
1268,1545,1098,1285,2598
2258,1627,202,656,2702
1702,2487,1604,1040,2571
1418,2546,857,945,2228
1123,2192,521,821,772
1422,1776,1330,954,1240
409,1690,839,992,2254
1238,2598,954,632,1615
1049,2606,1577,840,2432
1589,1822,1375,843,2441
1927,1892,1331,769,1800
1433,1668,564,748,1498
1661,2106,945,767,1316
1295,1568,669,680,1745
1489,2155,953,1187,1504
1863,2259,1204,871,2487
1160,1385,967,566,2062
2610,1648,625,949,1286
922,2097,1404,1281,2259
1852,2227,842,1149,1979
602,2046,956,623,1958
2559,2004,1237,339,1865
1965,1113,170,998,1677
2299,1872,1152,882,908
1429,2243,1313,962,1527
693,2120,1034,335,2031
1739,2387,743,711,1350
294,1771,1036,912,1519
434,1974,525,808,2666
1929,2140,1195,611,2203
639,2242,407,759,1385
1340,1887,774,918,1964
1605,1755,1423,655,1171
2429,2362,1277,827,1967
1616,2084,447,959,1641
1289,1912,1229,751,1886
