Real Estate and Housing Market, Virtual Housing Prices by Property Type, thousand USD, t
Tiny House,Cottage,Loft,Beach House,Mobile Home
763,466,444,406,704
814,381,482,624,621
510,596,474,582,830
628,447,554,810,257
722,846,402,473,688
743,993,455,967,601
476,410,544,341,546
315,535,573,697,508
817,803,497,567,588
292,554,471,639,609
489,496,375,521,752
715,641,475,656,818
522,314,648,597,530
339,637,466,575,471
507,337,436,736,667
443,356,824,339,504
394,363,407,692,686
656,859,421,459,537
522,791,704,547,460
894,524,506,566,344
564,763,421,375,798
506,481,594,308,662
657,283,440,399,327
779,699,270,953,441
655,540,588,447,475
474,304,532,590,378
370,478,467,295,445
407,392,168,964,523
735,414,426,649,478
807,610,150,337,528
480,739,796,562,412
513,280,679,536,539
769,723,430,754,551
462,374,808,1179,751
453,7,451,788,447
875,587,553,565,450
202,561,706,708,644
401,641,491,2,309
300,608,513,399,565
579,567,609,572,410
633,439,409,659,573
846,456,325,153,649
335,365,376,751,559
615,550,599,650,283
214,711,476,524,521
524,484,603,950,605
627,588,532,635,600
602,546,449,657,598
470,384,479,512,713
575,221,508,680,565
502,578,739,698,496
647,284,614,640,661
743,72,581,709,607
381,390,565,148,440
345,16,576,393,868
542,148,653,797,633
572,641,794,605,589
587,562,776,649,547
560,693,604,592,574
71,722,363,670,663
407,678,468,559,669
368,566,500,408,767
431,601,640,514,654
692,490,586,529,304
519,633,557,614,658
346,510,619,607,675
771,359,473,608,518
452,704,809,618,654
332,573,191,498,791
589,383,183,574,246
350,462,367,730,263
550,279,241,657,666
677,124,485,376,662
682,576,488,379,545
506,767,526,675,526
481,438,530,632,497
551,902,740,541,474
808,544,501,450,410
584,766,494,140,402
632,717,641,572,390
625,684,600,612,498
614,712,358,270,453
880,617,663,335,440
653,560,309,668,561
687,424,501,656,528
654,405,399,637,676
926,437,481,701,651
509,726,593,466,397
491,1003,709,781,426
350,476,703,534,446
578,487,347,753,591
477,42,622,525,88
396,444,360,695,309
303,497,450,731,707
423,488,483,595,833
858,599,546,581,724
329,792,564,661,584
514,551,505,533,459
467,338,441,544,529
710,613,623,423,739
555,640,579,527,676
483,462,631,806,467
588,539,593,397,437
467,165,697,724,510
714,500,677,530,363
499,764,442,215,726
506,784,708,543,804
400,310,651,680,535
706,242,722,716,604
759,629,200,465,780
381,587,455,573,602
330,767,609,401,518
651,1001,511,652,615
217,48,338,623,646
464,577,645,496,549
