Transportation and Logistics, Data on the volume of fruit transportation in cities, tons, normal
Mapleton,Westport,Yorkton,Lakeview,Highvale,Glenhaven
43651,62695,55274,61580,34305,41375
56738,54608,50630,51729,53758,53578
44938,44830,46825,54758,49149,57467
46047,48332,39127,48749,43653,51912
48657,50385,61918,53993,42104,60255
46445,41582,57905,45228,43748,34235
38148,42022,64764,36719,34627,57119
49705,36216,46359,57725,47234,53021
38916,51088,55858,50994,57762,56651
62288,56858,50282,42642,41146,42656
46174,48764,57975,52525,46823,48816
55333,42137,67075,44666,50324,38333
46431,53005,63125,45831,48652,60783
33800,70039,55084,44931,33720,52382
55934,43474,47411,58266,38014,64064
60136,57216,59620,60989,59860,60643
61371,37875,43543,46105,46789,51023
41944,58678,46362,49305,40125,55971
56803,46867,52830,61650,43709,54083
41810,49438,44295,49802,40182,55922
34191,36703,51843,42816,32923,37966
49851,46322,40177,59737,40922,35789
57380,57083,39610,47746,47145,55001
48260,40976,28991,54960,42865,60032
56678,50048,50584,45474,41940,53383
46812,54923,48704,56829,68461,38477
48528,37873,57789,49915,64884,49839
50029,51946,69960,57580,51557,45318
63165,38005,56124,51223,51091,50822
53748,62443,36822,54331,54149,72051
45552,53860,53956,69523,42809,53857
55075,53154,48533,41046,52187,41433
35949,53762,42777,46340,41471,49655
47735,50865,56239,45105,56652,41917
42689,64051,50816,61439,47973,42978
49002,58470,44113,59436,47166,46274
46261,56655,60227,65586,61786,46767
43546,57420,51782,43086,43687,48244
38995,52651,52869,41339,39255,49406
37151,53303,45472,41368,49650,61542
56334,49662,67286,48692,50457,45006
38814,66753,48834,43045,45769,63971
55250,41356,44526,41737,43649,49804
48400,63783,41839,51078,45816,63341
58394,47745,31800,56889,54537,42749
37679,54300,62301,46717,43994,51927
43479,54284,49605,40444,39272,50064
47811,57296,70408,76211,48286,39551
38987,48039,51156,55169,54338,46486
49912,59593,54353,62166,32435,51340
50105,41964,48593,43091,46234,56402
45236,64742,59451,56884,58135,58487
55308,50455,37223,40698,45010,40979
44721,59821,54172,39407,44079,46146
51915,52080,62462,50678,41668,41029
54871,55968,47210,68403,38801,38500
34142,65418,41565,52574,49615,60034
50769,51794,54228,36517,49333,42497
49697,36187,35442,56068,60682,57595
35042,56939,47152,59706,48837,49090
46060,52455,56026,60378,46072,49957
45295,46436,29105,41817,50913,43560
50440,55334,44997,65255,38941,51373
41794,50203,43096,60239,45300,48587
39699,54303,32645,54555,58602,57887
56289,38121,64969,48324,52272,59354
60778,51071,57070,54188,60094,60088
44284,46359,46609,42383,45611,44516
41886,42761,38738,54325,59026,58755
41287,57968,44595,60771,39440,41014
41218,57855,48550,40856,40212,38075
41772,51387,50405,43784,39068,52791
37029,43332,48549,48359,54347,55523
53453,49037,41416,56481,32937,47181
42812,43957,42572,45318,51436,59111
42721,44557,53516,54199,58488,47136
40545,66902,47178,56334,23975,55624
38338,52255,44419,46976,42804,45833
43915,32608,51350,36559,36732,56514
44368,43135,40381,41766,40273,49857
42483,56520,57292,63594,42031,49032
53040,59741,60602,53736,67151,39969
42729,41849,49023,51270,43202,59045
33259,54422,59097,38523,48499,47887
41892,50922,58832,52828,52922,59202
45601,50678,50435,49607,47112,55250
42486,62068,83112,44942,52996,48771
43326,39381,58095,58263,40924,59291
50397,57154,69087,55997,31185,47449
48223,60407,39943,50335,53661,65310
51203,48341,46531,67240,54141,63974
34851,41970,49865,56052,47759,40658
57034,59365,62404,58631,59032,57792
43356,50075,54869,54811,51546,37859
45966,47494,55888,33593,53073,59123
33435,50497,48279,52784,48430,31827
44313,51129,58398,55652,59912,55369
42702,51506,32885,47655,57370,31795
49860,39662,54410,46764,35453,52348
28183,43424,49892,50693,59611,45332
57915,51145,52946,51469,50934,45711
43502,54643,67692,44175,35175,52836
53853,47339,40140,58633,52132,70770
35125,44064,62282,69002,29186,48033
63438,56205,58107,62956,59032,32842
43337,56416,56364,64035,51414,43934
62818,43943,53600,48994,49079,59660
52087,56119,56778,61860,47135,55739
42824,56901,26485,31261,53876,57258
50009,60255,55613,43293,38850,41349
38870,55770,53244,50700,44175,46206
46208,55199,52588,59343,34199,56981
43514,51536,55097,56035,33598,56925
39322,54594,43585,63457,43530,58867
41012,40116,53968,53257,55785,46742
44982,53091,47061,44764,39162,62547
36049,46361,35611,51202,41281,43047
41813,48556,52135,51697,40361,37557
60771,55191,61199,36689,30850,41337
46437,50354,39494,36835,52025,60050
