Healthcare and Health, Statistics on daily outpatient visits in different cities, Number, normal
Elmhurst,Rosewood,Zephyr,Mapleton,Pinehaven,Fairmont,Springfield
1382,1254,1316,674,637,1115,558
999,1444,876,936,983,1170,622
957,1053,956,926,790,1109,894
1095,587,709,1406,889,1234,914
1066,601,661,1280,775,1425,660
1071,1103,1170,1002,800,1310,670
1207,680,863,814,1383,643,366
1028,1127,1185,1095,658,1088,639
1017,919,715,1007,1222,1035,350
1175,726,739,808,824,904,553
727,812,944,843,350,1411,770
377,672,910,826,932,859,572
1077,629,1215,1033,456,1539,863
1152,1577,1038,584,1181,1276,1160
1353,1266,925,705,547,917,209
742,987,1145,1180,1225,916,923
348,1349,1047,804,1000,792,1151
696,1127,919,565,862,1213,863
344,1179,1449,942,1062,800,467
623,1276,1151,1142,1465,1090,217
689,977,954,696,991,1137,1030
511,1164,752,1095,904,1372,928
776,832,566,1016,1030,404,491
836,1618,962,902,929,1191,873
568,1156,438,892,621,1290,678
1128,857,1348,1376,579,922,446
864,683,1277,541,617,1168,351
895,649,764,947,320,1468,1166
769,1250,520,799,1128,1228,815
1524,793,1392,1388,345,1165,490
990,1113,587,1034,684,970,1273
808,1091,944,888,1085,1545,870
1083,1020,1186,1051,545,984,762
1314,661,1505,644,1002,1433,1016
611,1117,1186,970,1329,1344,945
734,506,698,1224,562,1046,965
1390,819,1094,845,1083,614,607
1053,565,791,917,1102,909,717
1317,997,1211,843,962,1012,250
856,698,943,833,361,1315,626
344,1532,1164,891,656,1396,1026
651,1154,1435,1185,772,814,646
509,741,945,694,896,1078,536
1450,1148,851,543,399,1065,934
468,817,1001,736,994,1487,979
1273,1250,798,596,778,1498,749
629,1159,1234,429,1388,1183,590
1243,1037,1161,552,627,503,219
696,1155,907,924,1304,1189,247
908,1107,952,1050,835,1219,785
1220,1432,679,795,1373,1286,915
1047,1026,1042,826,1176,533,1093
686,1209,1123,885,1333,154,716
1003,700,501,710,535,658,638
1523,1074,690,589,1029,1157,534
1409,1369,1124,1189,1067,830,1141
788,1155,961,421,684,1499,799
1121,1051,1253,1096,893,1002,1193
1241,1011,959,673,615,694,1122
1301,1489,960,775,1179,900,1234
730,1319,660,1180,938,920,347
943,1037,1107,687,1382,810,660
811,1093,940,999,679,1150,1011
714,1026,1046,861,1132,979,1247
508,948,1106,1116,926,1169,749
1146,697,577,1006,890,1053,949
1137,1324,971,950,1243,1304,882
1461,1216,1254,1079,705,1393,453
907,877,786,1035,532,1109,385
854,961,1102,1181,874,809,1256
398,1119,845,954,1243,1270,491
870,744,876,926,508,747,214
1308,1321,1078,1020,1246,898,731
1173,996,859,912,651,1207,839
1292,452,890,608,955,1245,371
996,449,847,1354,559,1005,714
827,1208,762,826,690,924,997
1037,1200,1079,1124,906,609,879
1309,896,852,786,1075,1040,1029
887,886,1110,1014,753,974,715
830,1407,942,1082,902,1288,489
971,1273,1011,907,1024,1023,591
940,1333,1000,723,759,971,399
1113,779,955,744,976,1426,977
1324,1329,1067,634,895,1041,893
1525,1349,1180,1042,954,1144,282
1312,1199,816,879,63,1058,414
1413,976,1376,909,290,868,926
917,1121,782,1184,1249,1335,351
606,1596,1292,926,834,1164,1242
1064,1585,1029,1129,827,617,1209
668,1051,1156,1204,1132,1040,363
1170,871,982,782,1097,1016,1160
747,1115,753,1071,509,803,1118
768,1044,1302,602,904,1419,812
1401,1227,986,956,752,876,528
843,1261,1097,1175,989,1369,274
1196,979,1003,787,389,1269,1108
991,1013,1051,1063,1429,932,552
994,1055,905,945,1404,557,831
538,948,687,760,745,1277,911
743,1663,676,1129,368,1115,789
1237,989,890,1061,712,1058,608
1240,754,444,1056,992,465,1279
251,1155,1196,709,1044,846,612
917,835,969,967,1149,1174,1111
1143,1096,1207,644,1533,1524,763
940,533,1189,1017,577,1120,533
1122,753,857,1211,523,843,1049
1140,1675,1210,681,1083,1439,546
1300,735,638,1219,1175,1276,600
1324,1200,1622,1073,1363,1159,647
759,1162,1124,746,1037,1164,719
720,1196,760,1230,432,942,982
849,1220,620,1041,839,987,785
878,1214,1244,960,1182,943,725
1361,1205,605,860,1198,1049,271
