Tourism and Hospitality, Statistics on the number of one-day visitors to different attractions, Visitors, skewed
Silver Grove,Willow Grove,Lotus Temple,Moon Cavern,Coral Lookout,Star Plateau,Rainbow Gorge
4843,8798,5269,10851,7480,7716,6981
7170,13646,6421,13851,6506,16294,20672
5902,5005,10111,16869,8388,12371,8343
9057,10886,10177,15664,6176,5763,6209
6786,19153,8230,7291,8626,7738,9692
8645,24270,17125,13936,8077,11539,14843
15328,8792,12220,7891,7596,11348,6732
6616,8284,7407,25094,9257,9880,7934
14097,7338,6513,11407,10216,9045,8229
4270,21668,3661,10565,9731,6406,24796
11527,6535,22450,19300,10755,29216,8635
12679,7604,17406,20456,4900,12085,3631
9330,9608,6502,3389,6769,6608,8008
6965,8220,16195,12534,4526,3931,15921
5934,12306,8351,10301,4480,10303,5786
5058,6490,7891,19579,14931,12979,3682
13485,15752,6834,12569,12695,15653,14728
7722,4985,14871,8490,7372,14512,13976
30905,12006,9473,26231,19142,8819,3029
13714,7265,11121,27393,6617,12978,5228
9350,21535,15194,10344,18875,7449,28288
6590,8160,12359,13448,4239,16546,7899
8986,10837,8080,6964,16858,20475,3704
10848,5332,14913,7787,10627,19027,8404
11875,10375,8129,11054,6243,7793,6408
10172,9314,9714,12667,13068,15080,5593
16456,11877,8475,6874,6465,6105,13612
9545,11652,18633,10065,3510,10584,5625
6906,16450,12123,8772,4428,3764,6382
11178,7855,5689,9747,10074,8764,17517
14555,8167,7121,11100,11672,4609,8269
24517,6795,9920,12551,9709,14361,9282
29303,7783,18804,14342,7401,24366,6950
5432,5866,10908,23312,4489,5818,5962
3811,25848,7004,3626,11243,6874,19035
4294,13152,25857,12577,12028,15200,8334
9941,6589,6959,7709,24711,19520,8972
32635,7691,11374,16454,9963,7769,7357
6411,14423,11657,10779,11082,5798,16853
15937,9478,6336,9999,9846,19525,6671
4823,6353,10341,27743,6755,14552,4553
4054,15464,6786,37367,4923,13062,15363
8010,3948,15727,16875,11168,7808,9971
4861,4168,12424,5636,10053,5147,8559
11206,7164,12786,9003,16385,7212,23364
13195,12224,4340,9351,10350,12595,10676
8991,10340,14085,11896,19663,14957,11200
9684,5681,16672,12506,21507,16995,4776
11837,16834,6855,16985,13136,17922,21854
7928,12294,4143,14943,8212,8423,8764
14724,12509,8466,10578,11369,3866,8288
21610,7680,8937,5181,6851,8194,8298
12846,9890,16398,10097,13763,15370,8013
4904,8480,12130,19851,12071,16419,13566
9774,5912,7369,9817,9011,11209,9592
21259,3761,23033,8166,6404,9267,7389
8617,9099,5798,5619,12906,11601,7567
4902,6585,8591,11859,6100,6197,4348
4132,10022,8493,14164,10979,11751,12762
8472,23149,19665,9740,10505,18902,9348
10031,32019,12544,7830,14729,18834,13660
7231,7286,7857,12846,11961,6009,5715
6102,16067,8071,6415,4745,10656,11964
13246,9803,18082,10342,6453,8844,7143
7132,11856,5073,5917,17335,11974,10587
7019,22936,19302,8342,11166,7050,13144
4692,9821,4006,10042,10752,13602,22940
6927,14746,23536,9210,7069,7172,7653
6280,4311,4686,12678,4893,8552,5028
16241,10760,14722,7765,7917,14664,11563
3639,17116,8601,6368,7994,5279,16770
12437,10717,9778,13522,6011,7176,8020
4544,4898,11362,10201,9788,15728,10204
25539,20772,9472,21928,12932,10874,10706
12824,14468,11974,4175,11763,10704,14683
24106,11156,10930,5710,4279,13132,10034
16726,5354,14575,6204,8217,10765,12452
13213,9219,14706,9332,12708,11513,10421
20245,13913,4981,5477,10680,9006,7848
8383,7643,7862,18659,7946,4302,11997
14822,5194,7664,6056,13008,7017,12548
7239,5047,8790,7285,14403,13922,5886
14675,6964,10487,16303,16368,8924,15597
12250,16174,11110,7690,8277,15697,5941
7318,19651,15152,13616,5869,14199,13024
15609,10455,3856,8361,12240,6283,9882
8459,8769,3676,12101,20770,11452,7916
5992,5561,4574,4428,15191,8052,5339
12929,7725,14691,6662,8105,9619,11064
8982,6634,11207,20259,5723,6064,10410
18244,5455,6666,7465,9247,6529,8447
8864,8195,14021,16291,10004,18540,18350
6468,21445,18462,4469,3686,8395,14881
30102,4203,11120,5380,7420,6548,7329
12613,5725,4766,16898,4422,11074,23945
10714,5019,10240,4745,7849,5821,17756
13957,9594,6178,5500,12528,3754,6528
11732,9528,6701,9525,16749,4893,23373
6747,8494,6379,10726,5522,22018,7638
13670,4490,9687,5062,3564,4870,11997
6707,6206,6245,4641,8698,27147,22145
9607,9431,14216,6815,18165,12431,12688
7480,8571,8927,3929,16857,11311,9772
13389,7366,6936,15430,5793,12988,6218
7161,17108,11283,5984,13578,17380,6119
10589,10280,9326,3576,17034,11593,14462
13697,14077,7847,9004,11149,10514,5263
16687,7802,19589,6604,19669,10071,6966
12077,6278,10166,12408,5799,4716,12956
9954,12767,20693,19301,30956,19557,17538
12227,5051,8664,15753,20899,11790,4749
20783,8467,4615,5552,7525,11841,5691
19567,12794,4544,9563,20412,17332,4339
28145,7248,13168,8893,8156,8309,12177
12438,13763,9430,9551,20397,29717,8672
4997,26493,14767,4746,9784,13257,9443
9172,7921,7813,8694,10542,8954,7181
5366,12227,7865,11990,7491,14483,3959
12736,8904,16982,14101,7388,12989,12937
8158,16847,13989,12395,5815,10134,9210
