Agriculture and Food Production, Crop production data for a particular region, kilograms per hectare, t
Tobacco,Hemp,Millet
7268,7035,7646
7213,5559,8024
6882,6334,6107
7553,5707,7971
7268,6337,8007
7145,6314,6918
6823,6482,7507
7369,6650,8180
7263,7218,7256
7198,6553,8149
7107,5231,7870
7438,6481,6274
7248,5318,7739
6936,6570,8514
7782,6443,8074
7480,7420,7239
7273,7060,7796
7688,6573,6681
7426,6718,8025
7064,6036,7471
7397,5797,7841
7184,6373,8385
7608,7286,7425
7023,7032,8523
7152,6459,6852
7157,6844,7805
7238,6370,7260
7744,6747,8004
7380,6493,8197
7359,6288,8092
7269,5626,8315
7684,6274,7520
7290,6757,8435
6976,7290,7368
7341,7089,7530
7261,6350,7939
7396,6965,7742
6712,7194,7065
7545,6832,7623
7669,6928,8185
7760,6163,7723
7148,6501,8253
7236,5854,7817
7118,6671,8596
7670,6404,8406
7514,6405,7865
7094,6621,7644
8230,6638,7695
7213,6446,7858
7498,6466,8099
6936,6261,7450
6951,6704,8306
7040,7066,7483
7370,6095,7593
7637,6305,8089
7802,6715,8073
7641,6863,8011
7548,6544,7267
6550,6355,7480
7066,6088,8048
6879,6846,7593
7506,6368,7493
7079,6495,8188
7385,6077,8229
7697,6268,7556
6647,6620,8119
7415,6886,7446
7508,6414,8386
6879,6340,7558
7353,6696,8481
7444,6605,8051
7288,6538,7965
6433,6708,8946
6949,6769,7796
7400,7318,7638
7719,6424,8854
6989,6833,7805
7667,6430,7767
7450,5649,7596
7044,6013,7795
7892,6761,8085
7182,7050,7702
6856,6330,7851
7141,5754,8030
6656,6211,7520
7455,7060,7680
6736,6337,8417
7129,6436,7338
6770,6302,7529
6867,6392,7787
7543,7171,7981
7541,6532,7733
7103,6538,7221
7163,7408,8144
7258,7210,8203
6322,6782,7441
7244,6759,8253
7488,6723,7791
7327,6640,7865
7058,6417,7934
7245,6602,8086
7191,6688,7857
7415,6445,7996
7644,6398,7865
7023,5335,7813
7271,6827,7961
6226,6389,8667
7292,6874,8006
7292,6694,7869
7237,6509,7493
7462,6213,8177
7798,6356,7826
6588,6033,7915
6864,6478,8421
7601,6567,8014
7264,6473,7461
7179,7284,7305
7402,4944,7602
