Science and Engineering, Research and Development Investment by Country, million USD, skewed
Springfield,Westport,Elmhurst,Lakeview
278,464,390,212
769,692,493,527
751,916,626,425
242,426,396,445
528,1268,108,359
189,588,203,471
1086,333,667,423
1057,810,210,828
424,560,487,380
717,1019,273,495
383,552,162,303
650,580,423,386
395,1327,190,644
612,784,256,154
280,268,165,249
450,736,645,304
375,540,209,509
179,263,225,786
296,573,839,423
315,202,253,460
566,778,136,112
435,1029,360,224
627,193,569,444
882,646,317,527
978,610,151,220
233,679,250,356
354,549,652,214
813,568,982,466
631,1113,619,196
247,441,353,291
389,1206,208,341
486,294,256,185
934,431,505,123
1002,1025,196,371
1339,627,850,204
278,1071,390,150
803,374,737,150
374,595,813,379
416,536,234,359
516,705,222,271
696,1031,443,423
392,275,801,408
248,357,139,348
1043,807,181,315
743,636,443,335
157,529,231,285
586,713,1289,210
387,492,692,382
468,1461,448,426
1065,483,593,385
662,637,237,476
303,430,1057,507
700,1040,187,364
797,866,192,646
1015,421,134,198
348,950,263,167
756,854,410,346
413,1079,147,217
229,739,144,328
927,902,780,344
776,424,878,425
453,267,272,422
402,436,226,542
336,762,191,524
723,722,467,422
705,715,308,556
281,417,201,235
494,656,379,365
292,979,416,266
189,712,875,352
1411,492,460,389
826,700,642,482
669,945,300,200
739,489,374,803
694,865,369,400
240,449,678,461
760,382,295,283
734,909,382,160
748,386,300,577
715,901,237,700
716,506,463,738
397,688,194,373
759,831,521,131
451,377,512,535
580,269,241,958
687,353,240,500
509,273,239,405
658,277,348,284
601,426,787,370
252,336,414,198
546,492,591,661
441,504,658,377
524,690,322,443
170,1392,289,354
424,857,435,752
487,576,306,419
409,342,270,463
561,753,490,405
652,795,203,768
1015,459,534,313
164,531,211,180
482,332,279,403
462,702,342,174
203,442,211,526
174,320,1011,585
739,417,503,241
181,487,315,434
574,1473,192,348
230,175,157,477
184,425,366,339
292,558,661,522
370,300,358,267
1151,561,225,433
961,344,172,199
809,211,478,255
496,402,174,447
947,859,237,544
319,628,130,642
