Business and Finance,Data on the monthly revenue of different companies,USD,normal
NextGen,PeakPoint,QuantumX,SkyBound,SmartHub
4119805,7185898,5974337,4389021,5471333
4963467,4226361,5159142,5267182,3949339
4838141,6805709,2177702,6254519,4216505
2905457,6373800,4314758,4345895,4533940
6464701,3959723,5054317,6890220,3879737
5008041,3334209,4544393,2586460,4556305
4776056,5076211,2492864,3845353,3948273
4283640,4552211,6441557,5845330,4570680
6902517,3498654,5975615,1540319,2522909
5365633,5975611,7861664,6869737,4740526
2646030,4327371,6932843,4328197,7229420
6246480,3285121,6681905,5495346,5772956
3948789,6600819,4503039,3935432,4326195
5504723,7115605,3746547,2593796,2485062
3914800,6758517,6325852,3690911,6808508
5421576,6310559,7354698,8253953,5423301
6487033,6156253,4974943,4913626,5476332
5967580,7862439,6671527,5102130,5517239
3156943,7359529,6474988,5002914,3959057
5544608,3745466,3783794,5466406,4614268
6641607,4570686,7150739,3929585,5062158
4035635,4370623,4710755,4557259,7803432
5899890,2388798,8427129,4686932,4544484
4964226,5979014,1613274,4914632,4615895
3567584,7506242,5497403,7409182,5034662
6238198,3328198,4075111,4109952,5846325
7051574,5947074,4414991,6200877,7213976
3568448,4233059,7122479,4530635,6402097
7688752,5275282,4287099,3165675,1523901
7634299,6215848,4675602,5828126,5025807
7727381,3823383,7977571,4191807,5918590
2764507,5029553,3568793,5395951,5577473
5476161,5755900,3870349,5913839,4437980
5793938,4628221,2874046,4679224,6248306
7344988,3898083,2733883,6492038,6405325
8601121,4840290,7440280,1822151,3919422
3644461,5911693,4270267,4396191,3688501
5807794,5180747,4931426,1632288,6179952
5916502,7426728,5866132,5215098,6161746
2624486,6102635,5731807,5940893,5700676
8465138,7117350,3342318,6728384,2954572
6955063,7095316,6439384,5818259,5352910
6851715,7458062,5644343,3440639,5126823
6612064,3981308,6651890,5058253,8346892
5773544,1889849,4172290,4174270,5478843
6957135,6007943,6007497,4976722,5342478
3216298,4920987,208554,5458746,2181802
5078325,5745910,6079372,3754726,6750896
3534051,7691831,3252471,7594443,6742281
6043960,5141331,5895773,6748383,3170061
4507392,2442397,3380692,5539107,7840009
4194855,2455181,2639535,4295225,5639875
5296032,3714038,4133995,2272213,3941591
3075740,5537045,5393624,6726348,4317804
5367391,3468563,3711195,4594218,4835754
2763732,3907946,6513241,5878885,4304048
5108765,4843687,4378458,4295755,3969246
4407582,5404887,3791706,8417276,4943106
4721402,5311955,5582889,6259465,3980086
4688175,7315807,7328666,3480425,5225254
2970579,4244306,3966744,3641305,4799782
5273106,4913085,3652286,3427257,5021104
4657485,4947210,4747889,7864490,6345003
5161136,4690088,5045650,6510799,3516572
3746458,5365211,4008939,3428494,4643239
3496341,4980908,5275188,6479779,6958863
2712118,6662996,2220364,5176320,3695777
5218070,5564920,6047887,4284505,3180066
6443519,6530397,4389300,5541219,5133923
9629785,4337421,3296468,6509942,6003258
5558370,5689152,3291368,2666938,2937164
5605671,3902090,4012756,3166540,7039165
4466597,5792234,5680576,3510142,3218613
6276312,7194049,8566803,6227863,5585198
5795991,5219409,6790469,5456439,5177206
6738618,5902880,5175053,8327445,6885608
4423950,5461409,5921470,5380264,2900607
4746493,4466689,5032375,4378296,4439256
6041125,6408378,5319669,4140506,4858650
7230157,5335001,8478097,3721253,4265504
3579272,3050961,7761798,3173192,5188318
3397995,3275998,6564580,5969637,4188724
5994209,3989955,4062036,4575629,6640788
6736286,7113471,1151156,3704295,4818216
4649923,4089382,5507814,2783772,5412767
4401612,6081919,4201533,3848305,5927561
6578149,5056801,4078999,2537025,3218611
3148555,4633224,4808201,3063281,5268237
4008553,6392242,6398996,5975178,8808786
3993856,5011764,4746786,6285325,3507695
3955725,5597831,5693011,1809209,3252879
2573174,4294828,5039882,4400368,5378072
6864159,5533642,6280915,2555066,7423542
7671335,5462307,5987871,3120894,4744038
4814654,4484139,5690145,4444938,2518659
4875422,5332421,5980299,5887188,4727359
1099876,2822054,4455980,7185010,4269445
5735292,4903014,2280634,2773204,5217231
3999525,5921870,4645917,3498896,3259297
6463838,4657793,4438859,4490158,2649308
4738316,5952144,6424863,4071176,6487956
6274657,7035092,7400019,4677494,5366501
7007726,2763855,7021589,6828241,5079331
6354757,6879954,5357986,3172037,3629053
5136397,3304255,1837703,6381827,5373387
3987954,4447732,4006869,5719099,7122375
4076703,3847264,3552878,5173638,7586088
4607252,5577693,5787060,5792907,3622264
3405751,4880553,4676252,5103674,6067075
5811417,4200856,6065163,4503602,3495752
2258047,4238723,7380221,4362905,1678206
6814921,4514965,2149574,6748639,5430703
5135223,4478431,4877184,1884293,7378013
3613582,6428018,5203288,4528770,2801630
6241441,5607011,7100475,5361658,5888156
6060279,4169474,5349743,5573919,4046487
3016035,4930488,3879846,6328273,4026327
5037042,2980725,6667281,3868671,5534602
4993561,2593762,7159266,3819996,4032634
5247055,6477797,2941522,5645068,6535426
