Cultural Trends and Influences, Number of people participating in cultural activities across regions, number, t
Northgate,Lakeview
2529,1281
2331,1261
2246,1291
2531,1035
2078,1053
2251,533
2050,1212
2292,782
2313,890
2369,1253
2277,968
2224,1138
2539,1092
2209,1091
2312,915
2097,1468
2345,1290
2466,1031
2603,1074
2072,1406
2458,922
2369,1341
2291,1216
2458,1172
2123,1037
2198,1132
2460,1053
2185,1124
1993,970
2215,940
2408,1446
2086,1110
2335,884
2115,935
2067,1207
2357,1119
2272,1453
2382,993
2439,1244
2198,1056
2269,1288
2134,1063
2411,1149
2387,1173
2408,1393
2220,786
2309,1064
2251,1198
2235,1120
2263,1183
1991,1325
2343,998
2526,1127
2380,1155
2239,1165
2119,1022
2338,1239
2458,1055
2595,1222
1927,902
2247,1083
2484,1064
2211,1330
2114,1244
2435,1327
2492,1291
2301,915
2426,834
2299,1328
2424,1120
2293,1144
2488,959
2522,1312
2249,983
2228,1058
2167,960
2528,1380
2461,866
2289,1124
2311,810
2297,563
2384,1116
2260,1205
2383,874
2419,1008
2464,1161
2280,1260
2367,1009
2395,822
2301,1163
2458,1084
2343,1282
2249,978
2346,1171
2441,1017
2391,1092
2238,882
2211,1116
2400,1274
2303,1109
2489,978
2464,1412
2319,1475
2254,1231
2139,1101
2135,1077
2406,1337
2253,1130
2229,1020
2577,1145
2616,1330
2217,985
2385,1275
2294,876
2552,1169
2336,968
2290,1106
2389,1239
