Agriculture and Food Production, Crop production data for a particular region, kilograms per hectare, normal
Rye,Barley,Sugarcane
5155,10323,4382
6047,8555,8526
6402,8607,7305
4376,8236,2750
4648,10124,6581
5033,8371,5319
5611,10226,8419
4921,7345,7962
6511,8121,7063
3800,6396,5495
5831,7489,8886
4164,4809,4309
7359,5598,7103
7400,6747,6619
4790,6014,5070
5263,10352,6931
3886,9447,4632
6859,10016,7146
3841,6881,7240
5481,5344,7310
5211,10891,9783
6692,4997,6159
4023,5210,8966
2886,8929,4846
5418,5514,4830
5898,5998,3319
4211,2611,6508
4088,11355,7897
7122,5242,5485
7131,6480,8166
4578,9549,4869
6314,8351,6783
4639,5873,5576
6754,6791,3216
6887,7407,5695
6116,10454,6447
5365,8178,7368
4334,5115,3011
4330,7179,8440
7117,7709,6589
4139,8546,7491
6271,6514,5124
6666,6480,7268
3685,10583,4010
6325,6255,2230
2293,6948,5107
4489,10451,6289
8049,6297,5892
3314,5931,5803
2758,6037,2967
3594,8334,5951
5112,8296,3713
6860,4624,6371
5660,5487,3786
5684,9604,5605
4482,9686,4839
6352,9483,6747
6041,8627,9012
7803,7412,7384
6626,5868,2811
5398,4817,5390
4509,9182,7773
7760,6577,3591
5304,6606,8253
6532,10115,3290
7522,9224,3035
4903,8520,5522
3059,6490,5242
4551,7250,3446
8165,6670,9546
6702,4930,6415
7245,9423,2572
2116,6158,6411
4411,12084,5199
3737,2573,5528
5558,5758,4613
4435,6453,4581
5240,5347,7404
5207,6787,7175
6166,3946,7078
7982,8801,7217
6793,9906,7943
6201,5856,3927
5381,8371,7816
2664,8292,6059
7540,4740,5545
6412,9905,5523
7288,7351,8858
6100,8420,6278
5836,9084,4665
4157,7801,5316
6460,8890,6290
6007,9230,6294
5536,7908,5636
5871,7123,8090
4278,8302,4126
4233,6387,8207
5866,7884,2979
7107,5509,6197
6014,6750,3360
3479,9696,6921
4348,6064,6250
6733,9394,7407
4895,11554,8033
5500,2844,1949
4499,7891,6543
5974,7221,6265
6186,9635,8539
3973,4805,8183
4249,9013,6773
6277,7935,5977
5046,9040,7370
4791,8037,3045
8138,9504,8196
5090,7536,5440
6412,7720,6318
4058,5231,3256
3178,8269,6821
