Tourism and Hospitality, Statistics on the number of one-day visitors to different attractions, Visitors, t
Thunder Canyon,Sun Harbor,Lotus Temple
11506,5842,14608
11795,11478,15760
11885,8586,12764
9007,12786,7377
2873,6250,7286
10277,8602,6547
14143,5514,12197
5167,4068,9899
5693,5719,9129
12429,3771,9417
11824,1418,6416
11883,9532,12080
10555,19291,9188
12421,5885,6086
12914,3349,77
10905,6907,11121
16598,6381,8575
4773,6030,13596
6191,10214,10048
9016,11697,9339
11251,7419,11087
10847,10112,8556
17618,16465,3282
12689,6423,4734
9787,10139,5671
11842,3125,4443
7036,4800,11148
10809,22091,9325
6361,6445,9638
3673,8500,9911
8302,4871,8702
10663,20512,11078
1549,17139,6471
13803,6297,10619
5744,10605,9560
14191,12798,5243
10276,4049,9001
8632,5445,15431
8283,9882,14081
12420,8213,8648
11013,7966,10216
10195,2410,8264
8170,8536,10232
1610,21127,10753
7840,19404,7062
7166,7915,5668
15238,7552,4629
7136,5592,1321
7864,14879,12164
11267,7238,8690
5561,9710,6363
8113,7915,6842
15187,6193,12092
1682,7757,12946
9980,15096,9841
9445,8901,5821
16955,15261,8920
13368,19724,14420
7797,2420,13160
6185,6872,8698
7691,7251,15677
7898,13364,5369
12718,11778,6915
10574,11253,10963
4780,2119,5912
12914,7427,10950
6723,5657,5509
3998,4873,8825
18348,10505,8839
4732,7851,8425
11555,10991,11693
7317,11451,9824
4354,6673,7698
29686,10202,11306
6658,6377,8689
7700,11352,9045
13180,10844,5443
13521,5741,8961
15985,1774,4268
6988,8200,7794
8670,8748,8205
8950,11078,10154
13919,8170,9114
3679,7968,9041
10141,3026,10049
11858,20323,6468
7639,8440,9282
13815,5651,3861
6267,9209,13526
12251,19740,7238
6510,7605,11885
11880,9168,8833
5526,3538,1530
13410,10407,19002
12524,10483,6959
8282,20630,4766
8698,7598,6153
6784,9478,10392
7303,9691,11362
15559,10620,9839
12622,9228,4657
15941,5530,2605
10042,3762,10287
9484,9345,8742
21175,8005,13293
6221,8926,6532
8405,8271,7462
8130,7703,7283
11591,5460,3519
14995,12351,7597
7862,2612,13423
8206,11173,7424
11879,11329,7491
