Science and Engineering, Research and Development Investment by Country, million USD, normal
Rosewood,Highvale,Elmhurst
454,520,666
797,676,525
413,809,582
861,667,107
368,748,428
432,627,524
820,718,329
678,778,451
785,508,327
381,760,391
632,533,376
441,849,625
111,547,374
503,656,450
728,844,240
525,583,166
400,730,192
583,664,357
563,565,236
698,833,607
744,604,340
595,730,378
733,814,453
432,603,536
790,559,630
577,613,492
694,428,279
493,639,387
556,476,382
588,841,565
525,796,381
551,523,513
494,685,450
655,455,340
819,775,288
548,460,330
542,960,478
512,878,519
463,629,301
486,787,415
572,1005,485
720,449,463
544,427,289
846,571,295
361,465,282
593,714,633
622,666,533
441,959,670
595,831,599
517,760,331
385,691,469
565,811,353
548,916,441
390,721,498
607,758,505
212,702,410
461,680,497
387,839,305
417,898,384
595,644,434
617,663,628
647,623,384
370,765,379
693,672,247
804,674,247
400,456,493
580,800,454
840,658,644
807,1055,449
333,743,277
346,476,170
367,481,550
547,627,428
625,695,381
442,833,507
603,557,341
589,633,583
480,902,381
422,624,512
545,665,370
355,789,226
576,468,419
483,509,483
598,282,120
490,505,294
412,448,571
478,640,495
394,763,404
614,777,315
751,708,611
538,601,458
408,850,705
719,825,212
634,458,539
404,565,334
661,578,554
445,792,452
784,565,434
692,741,382
724,802,488
351,557,432
445,706,483
417,570,535
705,745,364
327,536,346
475,572,549
771,436,271
392,624,488
435,636,326
816,720,358
255,603,410
635,620,151
535,348,541
600,598,524
613,715,457
359,877,177
336,586,443
701,718,360
