Real Estate and Housing Market, Virtual Housing Prices by Property Type, thousand USD, normal
Beach House,Loft,Cottage
678,609,537
579,69,240
545,621,612
471,346,604
615,580,651
554,442,480
521,339,542
754,667,624
538,302,722
375,718,679
700,659,578
507,168,501
657,646,455
485,364,649
861,711,869
742,375,481
633,678,562
529,537,465
782,316,634
535,656,433
509,531,579
611,250,655
412,407,543
578,752,460
527,473,640
457,680,771
568,388,424
140,394,460
678,604,771
343,560,605
518,759,716
477,366,456
460,293,519
566,514,672
507,253,304
716,666,621
319,538,694
269,726,562
514,709,626
291,516,399
490,463,397
655,495,666
402,444,487
538,672,479
502,608,426
701,551,484
455,509,537
713,343,621
534,136,766
621,592,584
547,502,528
290,341,748
636,637,341
541,393,806
470,621,850
562,634,473
678,432,683
416,553,574
440,670,574
490,257,654
465,655,568
791,583,608
604,685,482
868,509,416
646,747,802
495,217,646
520,449,593
647,700,606
554,481,843
727,464,681
318,419,542
667,372,556
500,229,531
499,156,629
638,627,579
519,346,628
688,527,812
526,490,545
522,721,819
770,77,736
584,345,708
626,730,488
689,248,811
701,388,529
670,519,423
944,484,411
550,327,645
452,311,395
831,500,400
468,374,456
533,680,730
343,700,491
318,526,269
653,611,642
670,688,759
367,731,164
458,536,375
659,570,548
762,113,435
650,464,588
928,567,634
454,447,632
656,601,354
764,432,756
498,485,629
428,632,456
510,351,471
694,512,759
551,580,441
830,358,720
782,507,426
585,648,565
674,556,626
529,554,489
557,469,274
615,499,497
463,706,663
341,596,624
