Human Resources and Employee Management, Salary of Employees in Different Cities, USD, skewed
Pinehaven,Yorkton,Ironwood
53952,79783,38993
30316,52710,45829
76846,70772,40556
63458,33538,30047
29357,52587,20307
74874,60133,39614
81850,79784,32065
25557,75089,34749
46159,48554,62370
56726,43176,84807
84854,59355,37343
67589,73200,83921
49360,60104,48243
56507,33176,42058
50261,36655,62216
45053,79592,69229
45096,95787,61765
48044,60150,58612
52298,84670,55981
31648,44137,53119
52675,33304,33812
100301,90777,62468
59907,48547,37051
111277,48966,41492
72927,43541,39535
122135,32840,30447
34176,32977,50113
68764,48610,75523
41585,40097,35462
37531,45913,48730
31343,38353,32168
59414,58488,39648
43003,47098,22155
60738,53364,52901
53291,48496,61934
64992,98275,40962
50961,36571,30219
77002,35784,68966
39659,62028,41180
84171,91175,52663
58180,32333,68276
60082,41288,72895
26524,40388,41007
37912,58569,44220
49405,90673,49931
76638,36975,57149
46737,44886,43201
99960,39505,44161
32114,64944,35366
61694,58544,44915
75020,67822,35205
22586,45423,34473
27440,90364,56144
103835,62339,89289
49436,55656,25971
38786,36463,52733
53026,44196,31862
54460,55173,53683
28908,67780,55512
55718,60995,31729
36367,66806,58268
72851,36965,37933
111084,39230,55321
126021,43223,40739
75413,51149,38756
119228,56704,48954
64130,92033,32813
87388,41265,44737
38237,68804,61011
41173,47164,76430
53696,68018,58782
109370,33045,30504
37153,52217,48062
82179,78812,64761
63884,50647,48165
36166,64977,42649
81635,58113,22287
75306,34963,33500
42524,41436,27473
82493,56488,27537
36073,63455,40495
21600,84634,66465
45063,58625,31061
87031,46019,70529
73528,51499,69062
70717,70798,42197
35892,60541,28675
44005,53779,33725
64353,53991,46445
113119,46784,53348
88304,40848,32970
47801,44605,41603
59513,65607,33462
70844,41466,80477
38960,51348,33724
84058,59334,46950
74556,56928,25015
43313,69852,59649
90102,65291,44990
52835,46022,64951
54464,51896,45235
28569,54967,42273
79321,44368,38388
94462,99922,29263
113324,71618,44806
101456,59749,35329
72196,37078,54927
47118,36038,33494
82648,38750,44020
61625,83041,27816
42394,55076,35944
99755,84304,44596
49852,64096,22771
58462,68167,47693
41994,31368,44562
57210,51265,45151
58416,81559,60379
42517,61527,85044
