Transportation and Logistics, Data on the volume of fruit transportation in cities, tons, normal
Ashford,Northgate,Elmhurst
46605,50593,43287
57373,29034,31306
35367,40689,54423
45652,52365,33557
39737,48691,44864
55755,43303,33676
33284,42850,44395
34793,41688,38827
48670,33686,62044
47548,49273,49223
37169,41852,53167
37792,46755,44273
59307,42797,38880
37342,45385,39522
48744,50358,45205
45517,48694,46370
41489,44599,42798
39837,33151,54774
45156,40003,58264
46637,46296,50276
44073,54873,44682
50095,46814,50860
35608,55943,42236
36473,36389,44155
43673,40422,51210
50054,52688,42916
37926,44226,48597
49221,43392,45017
53525,43762,41300
49867,54419,34480
42590,55482,47899
53131,47322,47490
51234,51048,45481
57489,40799,28280
58724,36748,37704
49563,42810,38140
37399,44997,40131
45528,49175,48948
52570,43105,52544
54500,40899,47268
49666,44171,27898
55083,49750,33506
54187,52942,42526
54885,45869,40417
45809,49662,56815
38005,32137,47624
60636,36561,49293
57482,34426,47082
66168,41845,51200
40018,43752,47997
40200,47912,32021
33021,44070,44018
43832,46003,34920
44267,50054,40588
50056,52198,42119
42809,32835,54727
47430,45033,41915
49900,40422,44263
40814,43444,35113
43912,54215,45410
36913,49997,43942
54937,32911,48985
46862,50549,40887
48464,41789,43587
40743,57423,29540
46313,39707,48680
51194,58467,53009
39772,44736,52300
46211,25332,26272
44481,45182,29299
53760,51948,50753
37169,43846,43064
39668,50680,45699
50043,56261,47038
49737,46197,44754
48747,56468,53265
40140,50470,34998
38227,40878,41914
45336,31612,60921
38380,41700,43114
59571,48499,37640
50952,59568,28361
56068,44240,27710
47578,45758,45516
55507,50005,44348
45759,55856,57288
24610,42229,46464
41914,41552,37078
54182,39048,43178
49234,41066,52570
46744,47627,42475
46810,55189,46725
46030,36307,47180
35527,38543,47803
57296,45483,43046
51678,35973,41242
51892,44047,49396
34763,35341,48670
48950,37743,43183
35919,63640,36108
33505,54998,39468
52497,35885,37222
29802,32042,46565
33841,43227,46794
50109,52425,49256
51968,46069,35020
48291,31496,46092
43468,39897,45206
61779,49127,51031
33047,41808,36244
46166,44237,54062
54745,38315,44424
54041,47304,40496
36988,39931,31968
40981,45152,52461
45420,60955,49500
46424,46725,50617
37250,36189,46625
38767,52766,46761
43717,34647,42701
