Tourism and Hospitality, Statistics on the number of one-day visitors to different attractions, Visitors, t
Thunder Canyon,Lotus Temple,Misty Trail
12181,7884,13058
7253,6231,6579
4096,9581,9588
682,4827,10214
10804,12136,9486
10514,11355,7558
8334,8854,9469
6014,9417,8231
2417,10800,7339
4370,6745,14312
3886,14101,10569
10737,6097,14386
7226,5675,9259
984,5455,9585
11678,6763,13157
1129,9637,11161
8215,8321,9238
8313,10087,7906
9327,13595,9593
9654,8378,6735
7695,3340,10895
5182,3938,7560
6969,9487,7735
7264,9619,1568
6651,8881,12355
16796,12319,3538
8564,7452,11895
9985,9749,6340
10854,13117,5328
5836,2959,8382
7259,10505,6449
6743,5487,8626
6146,8686,11235
9134,9171,14176
6988,5721,12767
14188,11209,11243
15511,11218,5006
9852,8729,4320
4294,11945,12042
6004,12277,9659
5675,8090,6677
3590,7647,13772
2355,9637,8001
10715,5655,12071
2899,4307,11135
6725,12645,8370
7208,5383,9078
6537,10763,8564
2010,8438,10014
6903,6379,5638
7948,8034,5203
6102,6856,8909
9254,6683,5971
39,6497,9351
7418,8880,6009
9373,8422,10737
5339,5531,5359
2727,6178,4932
6465,8520,7361
7599,11196,10843
5244,6238,18047
13551,7452,8584
2401,8803,9957
8554,11176,11692
9162,11349,7860
7534,7626,7887
5138,9701,12701
10803,7512,14118
4655,6596,9391
4295,3578,6591
13257,12163,6265
11056,9910,11396
6442,9242,8143
15433,7973,7079
7226,5722,10452
13649,9576,8431
5154,10591,9202
5728,7636,10585
12591,7719,8209
6032,3173,7845
6880,11327,6449
7816,9322,9812
8746,8992,16433
14456,6065,8228
20338,7064,12142
84,8796,6956
460,9604,8775
9157,8670,3517
7939,12543,13204
6501,4798,11024
13966,2806,10196
8635,10658,6757
10487,10061,8937
6974,5274,4232
11023,10443,8223
9976,4367,8489
3471,4985,8656
8288,5838,6711
11954,5981,7980
4642,9739,4527
9191,8428,6616
17927,10461,12413
6300,13353,8673
4616,3832,20360
2932,10016,9456
9303,3940,9898
4129,9332,5609
7807,15640,4314
5988,7927,8680
3742,13348,10112
5556,9064,6512
7371,9077,9625
2634,10408,8769
16152,9007,11772
7059,7193,6944
6748,14017,6393
12693,11168,4879
8874,10811,8028
2383,6186,7296
