Agriculture and Food Production, Crop production data for a particular region, kilograms per hectare, t
Oats,Flax,Rice,Tobacco,Sorghum,Rye,Tea
8083,6012,5796,8382,4435,7130,5703
8379,5374,5576,6829,4051,7598,4508
8144,6222,5162,7181,4047,8224,5453
5600,4961,4600,7582,4201,7829,5125
7158,5381,5247,6360,3989,8678,5943
7229,5310,5366,7983,4377,6931,5885
7965,5402,5490,7155,4113,6767,3733
7176,5792,4873,6323,4051,7912,4289
5931,5153,5268,7657,4726,7987,5775
7739,5494,6823,7302,3307,7396,5085
7286,4538,6595,7312,3528,8489,5808
7018,5116,6022,6918,4436,6163,4902
8186,4288,5433,6671,5344,8040,5476
5288,4900,6138,7401,4627,7377,4264
8688,5763,5679,6286,5312,7437,4056
6994,5439,4841,7514,3802,6985,4996
7743,5114,6190,7509,4100,6835,5183
6394,5628,6561,7241,4439,7067,4453
6684,5346,4629,7707,4452,6917,5540
6551,5252,4119,6798,3088,7361,4433
7115,4805,4994,7666,4670,7821,6163
8152,4842,5465,6649,3635,9038,5286
7431,5207,6112,6117,3810,7526,5779
7918,5461,6042,6728,5277,7235,4880
8904,4986,5606,7022,5137,7518,5257
7393,5613,7006,7166,4367,6877,6194
7652,5035,5471,7271,4807,7211,3930
7945,5486,5566,7014,4323,7622,5638
7559,5561,5894,7632,4322,7798,5553
7922,5503,5462,7431,5015,7135,4990
7090,5626,5424,7297,4511,7000,4803
7231,5723,5212,7316,3004,8562,6220
8366,6052,5530,6784,3937,7518,6235
7564,5462,5533,5692,5089,6906,5321
7789,6103,5610,6899,5254,7023,5738
8072,5171,5136,6498,3643,7058,5097
8025,5875,6006,7262,4374,7080,4838
7174,5928,6236,7594,4190,7296,4722
7937,5653,5867,7697,4163,6823,5928
6797,6158,5013,7242,4196,7969,5665
7645,4298,5366,7024,4494,8064,4915
7755,5490,4244,7386,4531,8052,6126
8176,5597,6222,6793,3875,6818,5312
7577,5562,5303,7136,4789,7892,6344
7524,6060,5827,8368,4781,7161,5965
8382,5797,7010,7723,4771,7583,5842
8057,6301,4472,7535,4772,6680,6448
7803,5977,6493,7945,4309,7668,5194
8514,5909,5456,7317,4577,7611,5751
8085,5700,4416,6623,4549,8152,5740
6836,5352,5489,7519,4035,8215,4849
8477,4924,6477,7154,4402,6900,4325
8062,5378,5540,7859,4572,7303,4414
7269,5541,5263,6982,4190,7993,6136
8426,5154,6023,7028,4569,6483,5167
7613,4177,5415,7590,4128,7682,2419
7815,6286,5556,7039,3596,8168,5568
8423,5283,5983,6793,3657,7860,5667
6148,5637,5567,6550,3926,7376,3969
7899,5326,6012,8338,4433,7142,5480
6911,5477,5219,7611,4235,8201,5711
7739,4596,5665,6258,3763,7525,6742
7781,6269,5445,7991,4539,7051,5340
6055,5559,5359,7579,4141,7069,5429
7496,5451,5679,7213,3974,6383,4079
8857,4859,5469,6519,4270,6127,3024
6989,5285,6619,6961,3634,7323,5204
8031,5839,4870,7109,5144,7677,5562
7037,5265,6467,7118,4456,7056,4863
7011,5459,3950,7377,4740,7791,5653
7360,5908,5767,7133,3970,7555,5718
7114,6225,6102,7715,4812,7991,5972
8342,4786,4807,7417,4989,6952,5070
6817,5910,5874,7680,4187,8259,4681
6914,5778,5601,5420,4222,6146,4779
7883,6007,4026,7441,4489,7187,4982
8901,4824,5915,7094,3411,6511,5090
7607,5533,5738,6263,5188,8951,4754
7558,5331,5271,7215,4163,7963,5178
6909,5225,5202,7854,3991,7805,5509
7379,5498,5662,7574,3636,7010,6747
8242,5545,5375,8295,4432,8725,5413
7665,5742,6358,7276,5084,7640,4881
6471,5143,5963,6841,4741,6733,5264
7382,5015,4924,6692,4407,7678,4845
8622,5371,5820,7165,3664,7552,4463
6906,5194,5772,7094,4110,7227,5432
7957,5566,5692,7145,3602,7273,5019
7388,5310,5682,6509,4373,7372,6079
7672,4194,6192,7257,3711,7708,5902
6563,5432,6138,6862,4645,7372,4419
8639,5228,5564,7017,5124,6452,5419
6503,5548,5774,6557,3992,7075,5383
8041,5051,4883,6296,4374,8564,5990
6806,5870,5138,6756,4046,7759,5138
7431,5546,6565,7480,4358,7398,4732
7342,5251,5423,7427,4170,7617,4762
7440,5534,5884,8064,4368,7435,3656
6651,5441,5759,6945,3920,7766,5768
7584,6062,5209,5958,4703,7713,5239
8981,5367,5342,7178,4246,6924,5833
7692,5893,6925,7631,4050,7267,4279
7891,5610,5379,6317,3722,7430,5884
7642,4953,5426,6894,3028,7867,4008
7620,5862,5231,6809,4925,7844,4978
9064,5570,5788,6335,4492,7558,4592
7216,4919,5871,7627,4297,7011,6013
7284,4734,5814,8254,4156,7865,5774
6607,5079,5667,7855,4779,7345,6626
8191,5537,5039,7223,3930,8577,4689
7998,5775,5112,7378,3682,7231,4768
8106,5591,5612,7584,4780,7979,6595
8474,5645,6366,6220,4126,7797,3789
7101,4878,5801,6997,5110,7483,4800
6373,5433,6390,7715,4223,7128,5738
8549,5209,4938,8106,4544,7735,5254
7978,5571,6630,6079,4945,7674,5066
7834,5356,5614,6791,4690,7223,6544
