Retail and E-commerce, Daily sales statistics by product category, thousand USD, t
Jewelry,Music,Beauty,Tools,Pet Supplies,Baby
303,154,324,290,418,112
125,307,298,337,390,200
297,166,348,292,294,156
208,217,267,323,226,196
190,279,354,424,195,179
305,203,316,360,391,194
254,177,292,391,287,208
158,232,359,319,310,194
236,298,270,477,325,152
118,386,284,317,280,99
150,251,376,450,380,234
137,191,425,284,226,199
215,327,304,386,332,182
243,274,241,189,169,263
240,167,271,254,204,202
231,145,231,465,364,166
282,284,442,333,276,122
237,321,300,245,396,127
93,264,308,336,246,231
304,343,267,224,368,143
176,323,278,287,323,204
140,259,271,257,406,193
245,89,326,378,366,288
152,311,366,505,347,240
188,272,360,213,150,4
247,375,358,293,260,296
258,303,363,292,221,232
344,349,299,287,268,148
274,325,305,274,162,171
269,207,287,277,296,4
95,413,296,239,293,284
233,410,355,305,272,237
283,210,343,301,178,105
205,374,303,286,148,205
236,287,263,310,403,243
215,228,310,331,397,222
182,113,324,252,19,82
233,354,348,391,235,196
193,184,318,314,286,223
161,274,392,423,425,182
197,213,281,379,318,317
190,265,281,350,299,266
200,227,308,372,264,278
147,212,314,353,254,92
250,311,303,386,119,223
196,253,361,263,377,246
303,299,290,266,173,245
230,380,292,290,289,173
151,245,306,342,321,180
225,227,318,397,171,187
183,218,288,348,336,211
186,384,370,266,325,211
184,162,397,206,258,102
234,218,305,395,465,148
240,253,273,396,217,106
174,281,288,351,426,242
265,281,388,310,303,204
239,353,328,424,320,249
117,287,308,347,443,138
268,244,251,343,463,271
243,238,300,343,110,259
151,280,345,320,370,256
236,238,292,251,361,262
202,248,325,125,99,77
266,329,301,261,133,212
376,219,338,282,262,239
325,29,336,274,280,234
218,319,318,324,347,302
323,315,345,153,255,166
237,195,375,280,346,218
205,316,281,299,251,231
117,296,320,304,446,217
264,154,247,287,268,181
216,14,309,320,310,144
293,406,354,344,297,160
131,249,366,276,134,222
172,253,231,327,204,218
196,261,348,301,380,175
148,272,286,305,257,233
254,154,270,386,204,165
89,211,283,281,321,291
172,255,261,344,254,214
263,329,314,320,306,271
241,203,278,332,32,254
197,409,327,374,331,154
101,311,332,310,232,219
274,284,313,311,356,293
297,268,314,289,360,259
184,309,220,350,325,185
289,311,315,400,268,138
218,302,355,69,294,224
188,315,270,329,247,227
232,162,215,225,267,175
188,358,371,387,351,198
142,154,276,344,237,77
92,289,401,313,259,319
188,280,320,287,356,101
89,322,288,294,351,182
159,232,280,305,258,267
214,307,285,325,262,277
269,365,333,262,117,188
294,103,303,191,375,137
221,153,345,375,336,199
316,419,276,294,250,195
206,350,393,249,249,163
258,176,352,500,188,234
292,351,289,375,318,312
217,261,269,296,289,229
75,204,268,248,409,166
261,356,262,227,316,229
195,282,337,241,256,293
289,370,348,333,268,195
154,385,258,350,194,256
231,95,365,475,397,162
277,174,308,299,443,191
